*HASH_VALUE	sphrase ID	name	* noms français	p	description
_1CD63F5A46202A42	abfcb06	Улучшенный штраф на здоровье			Позволяет использовать станзу штрафа, расходующую единицы здоровья.
_1CD63F5A46302A42	abfcb07	Улучшенный штраф на здоровье			Позволяет использовать станзу штрафа, расходующую единицы здоровья.
_1CD63F5A46402A42	abfcb08	Улучшенный штраф на здоровье			Позволяет использовать станзу штрафа, расходующую единицы здоровья.
_1CD63F5A46502A42	abfcb09	Улучшенный штраф на здоровье			Позволяет использовать станзу штрафа, расходующую единицы здоровья.
_1CD63F5A46C02E42	abfcb10	Улучшенный штраф на здоровье			Позволяет использовать станзу штрафа, расходующую единицы здоровья.
_45137A24795BE8EE	abfcc01	Атака после уклонения 1			Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 20. Может использоваться только после того, как вам удалось увернуться от удара противника.
_45237A24B96BE8EE	abfcc02	Атака после уклонения 2			Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 30. Может использоваться только после того, как вам удалось увернуться от удара противника.
_45337A29FA7BE8EE	abfcc03	Атака после уклонения 3			Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 45. Может использоваться только после того, как вам удалось увернуться от удара противника.
_45437A24BA8BE8EE	abfcc04	Атака после уклонения 4			Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 70. Может использоваться только после того, как вам удалось увернуться от удара противника.
_45537A243B9BE8EE	abfcc05	Атака после уклонения 5			Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 90. Может использоваться только после того, как вам удалось увернуться от удара противника.
_75109F1C5544AF5B	abfcc06	Атака после уклонения 6			Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 115. Может использоваться только после того, как вам удалось увернуться от удара противника.
_75208B1F5554AF5B	abfcc07	Атака после уклонения 7			Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 140. Может использоваться только после того, как вам удалось увернуться от удара противника.
_75309F215564AF5B	abfcc08	Атака после уклонения 8			Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 165. Может использоваться только после того, как вам удалось увернуться от удара противника.
_75408B245574AF5B	abfcc09	Атака после уклонения 9			Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 190. Может использоваться только после того, как вам удалось увернуться от удара противника.
_FF9A3608ED4E331B	abfcc10	Атака после уклонения 10			Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 215. Может использоваться только после того, как вам удалось увернуться от удара противника.
_3F9A4A08ED5E331B	abfcc11	Атака после уклонения 11			Повышает урон от нанесенного удара до 200% - максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 265. Может использоваться только после того, как вам удалось увернуться от удара противника.
_E1B9C8AA445797A9	abfcd01	Атака после парирования 1			Сокращает вероятность того, что противнику удастся увернуться от вашего удара -  максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 20. Может использоваться только после того, как вам удалось парировать удар противника.
_E1C9C8AA44B79BA9	abfcd02	Атака после парирования 2			Сокращает вероятность того, что противнику удастся увернуться от вашего удара -  максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 35. Может использоваться только после того, как вам удалось парировать удар противника.
_E1D9C8AA4477A3A9	abfcd03	Атака после парирования 3			Сокращает вероятность того, что противнику удастся увернуться от вашего удара -  максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 50. Может использоваться только после того, как вам удалось парировать удар противника.
_E1E9C8AA44D7A7A9	abfcd04	Атака после парирования 4			Сокращает вероятность того, что противнику удастся увернуться от вашего удара -  максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 65. Может использоваться только после того, как вам удалось парировать удар противника.
_E1F9C8AA4497B3A9	abfcd05	Атака после парирования 5			Сокращает вероятность того, что противнику удастся увернуться от вашего удара -  максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 90. Может использоваться только после того, как вам удалось парировать удар противника.
_5D21A7788FC82542	abfcd06	Атака после парирования 6			Сокращает вероятность того, что противнику удастся увернуться от вашего удара -  максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 115. Может использоваться только после того, как вам удалось парировать удар противника.
_5D31A7784E082542	abfcd07	Атака после парирования 7			Сокращает вероятность того, что противнику удастся увернуться от вашего удара -  максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 140. Может использоваться только после того, как вам удалось парировать удар противника.
_5D41A7784E482542	abfcd08	Атака после парирования 8			Сокращает вероятность того, что противнику удастся увернуться от вашего удара -  максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 170. Может использоваться только после того, как вам удалось парировать удар противника.
_5D51A7784EE82942	abfcd09	Атака после парирования 9			Сокращает вероятность того, что противнику удастся увернуться от вашего удара -  максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 200. Может использоваться только после того, как вам удалось парировать удар противника.
_43BC5600C3F666D3	abfcd10	Атака после парирования 10			Сокращает вероятность того, что противнику удастся увернуться от вашего удара -  максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 235. Может использоваться только после того, как вам удалось парировать удар противника.
_83BC5600C40666D3	abfcd11	Атака после парирования 11			Сокращает вероятность того, что противнику удастся увернуться от вашего удара -  максимальная эффективность для оружия, рекомендуемый уровень использования которого составляет 275. Может использоваться только после того, как вам удалось парировать удар противника.
_604F56ED5F5B0DDE	abfce01	Атака после критического удара 1			"Позволяет использовать боевую станзу ""атака после критического попадания""."
_604F5AED5F6B0DDE	abfce02	Атака после критического удара 2			"Позволяет использовать боевую станзу ""атака после критического попадания""."
_604F5EED5F7B0DDE	abfce03	Атака после критического удара 3			"Позволяет использовать боевую станзу ""атака после критического попадания""."
_604F62ED5F8B0DDE	abfce04	Атака после критического удара 4			"Позволяет использовать боевую станзу ""атака после критического попадания""."
_604F66ED5F9B0DDE	abfce05	Атака после критического удара 5			"Позволяет использовать боевую станзу ""атака после критического попадания""."
_604F6AED5FAB0DDE	abfce06	Атака после критического удара 6			"Позволяет использовать боевую станзу ""атака после критического попадания""."
_604F6EED5FBB0DDE	abfce07	Атака после критического удара 7			"Позволяет использовать боевую станзу ""атака после критического попадания""."
_604F72ED5FCB0DDE	abfce08	Атака после критического удара 8			"Позволяет использовать боевую станзу ""атака после критического попадания""."
_604F76ED5FDB0DDE	abfce09	Атака после критического удара 9			"Позволяет использовать боевую станзу ""атака после критического попадания""."
_3126B3CC4CDFE072	abfce10	Атака после критического удара 10			"Позволяет использовать боевую станзу ""атака после критического попадания""."
_3136B3CC4CEFE072	abfce11	Атака после критического удара 11			"Позволяет использовать боевую станзу ""атака после критического попадания""."
_DF30CD79CE5422FD	ABPPC01	Развитие телосложения 1			Улучшает ваше телосложение и повышает количество единиц здоровья.
_DF30CD79CE6426FD	ABPPC02	Развитие телосложения 2			Улучшает ваше телосложение и повышает количество единиц здоровья.
_DF30CD79CE742AFD	ABPPC03	Развитие телосложения 3			Улучшает ваше телосложение и повышает количество единиц здоровья.
_DF30CD79CE842EFD	ABPPC04	Развитие телосложения 4			Улучшает ваше телосложение и повышает количество единиц здоровья.
_DF30CD79CE9432FD	ABPPC05	Развитие телосложения 5			Улучшает ваше телосложение и повышает количество единиц здоровья.
_DF30CD79CEA436FD	ABPPC06	Развитие телосложения 6			Улучшает ваше телосложение и повышает количество единиц здоровья.
_DF30CD79CEB43AFD	ABPPC07	Развитие телосложения 7			Улучшает ваше телосложение и повышает количество единиц здоровья.
_DF30CD79CEC43EFD	ABPPC08	Развитие телосложения 8			Улучшает ваше телосложение и повышает количество единиц здоровья.
_DF30CD79CED442FD	ABPPC09	Развитие телосложения 9			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A08E9A5D	ABPPC10	Развитие телосложения 10			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A0AE9A5D	ABPPC11	Развитие телосложения 11			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A0CE9A5D	ABPPC12	Развитие телосложения 12			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A0EE9A5D	ABPPC13	Развитие телосложения 13			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A00E9A5D	ABPPC14	Развитие телосложения 14			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A02E9A5D	ABPPC15	Развитие телосложения 15			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A04E9A5D	ABPPC16	Развитие телосложения 16			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A06E9A5D	ABPPC17	Развитие телосложения 17			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A08E9A5D	ABPPC18	Развитие телосложения 18			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A0AE9A5D	ABPPC19	Развитие телосложения 19			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A08EA25D	ABPPC20	Развитие телосложения 20			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A0AEA25D	ABPPC21	Развитие телосложения 21			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A0CEA25D	ABPPC22	Развитие телосложения 22			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A0EEA25D	ABPPC23	Развитие телосложения 23			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A00EA25D	ABPPC24	Развитие телосложения 24			Улучшает ваше телосложение и повышает количество единиц здоровья.
_BCB8F0A7A02EA25D	ABPPC25	Развитие телосложения 25			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51AF0BFA	ABPPC26	Развитие телосложения 26			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51CF0BFA	ABPPC27	Развитие телосложения 27			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51EF0BFA	ABPPC28	Развитие телосложения 28			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA510F0BFA	ABPPC29	Развитие телосложения 29			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51EF13FA	ABPPC30	Развитие телосложения 30			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA510F13FA	ABPPC31	Развитие телосложения 31			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA512F13FA	ABPPC32	Развитие телосложения 32			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA514F13FA	ABPPC33	Развитие телосложения 33			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA516F13FA	ABPPC34	Развитие телосложения 34			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA518F13FA	ABPPC35	Развитие телосложения 35			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51AF13FA	ABPPC36	Развитие телосложения 36			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51CF13FA	ABPPC37	Развитие телосложения 37			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51EF13FA	ABPPC38	Развитие телосложения 38			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA510F13FA	ABPPC39	Развитие телосложения 39			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51EF1BFA	ABPPC40	Развитие телосложения 40			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA510F1BFA	ABPPC41	Развитие телосложения 41			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA512F1BFA	ABPPC42	Развитие телосложения 42			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA514F1BFA	ABPPC43	Развитие телосложения 43			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA516F1BFA	ABPPC44	Развитие телосложения 44			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA518F1BFA	ABPPC45	Развитие телосложения 45			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51AF1BFA	ABPPC46	Развитие телосложения 46			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51CF1BFA	ABPPC47	Развитие телосложения 47			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51EF1BFA	ABPPC48	Развитие телосложения 48			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA510F1BFA	ABPPC49	Развитие телосложения 49			Улучшает ваше телосложение и повышает количество единиц здоровья.
_FEF681FA51EF23FA	ABPPC50	Развитие телосложения 50			Улучшает ваше телосложение и повышает количество единиц здоровья.
_09FB58BF0EA0ADD0	ABPPM01	Развитие метаболизма 1			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_49FB58BF0EB0ADD0	ABPPM02	Развитие метаболизма 2			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_89FB58BF0EC0ADD0	ABPPM03	Развитие метаболизма 3			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_CAFB58BF0ED0ADD0	ABPPM04	Развитие метаболизма 4			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_0AFB58BF0EE0ADD0	ABPPM05	Развитие метаболизма 5			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_4AFB58BF0EF0ADD0	ABPPM06	Развитие метаболизма 6			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_8AFB58BF0E00ADD0	ABPPM07	Развитие метаболизма 7			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_CBFB58BF0E10ADD0	ABPPM08	Развитие метаболизма 8			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_0BFB58BF0E20ADD0	ABPPM09	Развитие метаболизма 9			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_03F5F4A4DAEFEC28	ABPPM10	Развитие метаболизма 10			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_03F5F4A4DAFFEC29	ABPPM11	Развитие метаболизма 11			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_03F5F4A4DA0FEC2A	ABPPM12	Развитие метаболизма 12			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_03F5F4A4DA1FEC2B	ABPPM13	Развитие метаболизма 13			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_03F5F4A4DA2FEC2C	ABPPM14	Развитие метаболизма 14			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_03F5F4A4DA3FEC2D	ABPPM15	Развитие метаболизма 15			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_03F5F4A4DA4FEC2E	ABPPM16	Развитие метаболизма 16			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_03F5F4A4DA5FEC2F	ABPPM17	Развитие метаболизма 17			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_03F5F4A4DA6FEC30	ABPPM18	Развитие метаболизма 18			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_03F5F4A4DA7FEC31	ABPPM19	Развитие метаболизма 19			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_43F5F4A4DAEFF028	ABPPM20	Развитие метаболизма 20			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_43F5F4A4DAFFF029	ABPPM21	Развитие метаболизма 21			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_43F5F4A4DA0FF02A	ABPPM22	Развитие метаболизма 22			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_43F5F4A4DA1FF02B	ABPPM23	Развитие метаболизма 23			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_43F5F4A4DA2FF02C	ABPPM24	Развитие метаболизма 24			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_43F5F4A4DA3FF02D	ABPPM25	Развитие метаболизма 25			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_43F5F4A4DA4FF02E	ABPPM26	Развитие метаболизма 26			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_43F5F4A4DA5FF02F	ABPPM27	Развитие метаболизма 27			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_43F5F4A4DA6FF030	ABPPM28	Развитие метаболизма 28			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_43F5F4A4DA7FF031	ABPPM29	Развитие метаболизма 29			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_83F5F4A4DAEFF428	ABPPM30	Развитие метаболизма 30			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_83F5F4A4DAFFF429	ABPPM31	Развитие метаболизма 31			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
_83F5F4A4DA0FF42A	ABPPM32	Развитие метаболизма 32			Улучшает ваш метаболизм и повышает скорость восстановления единиц здоровья.
