*HASH_VALUE	skill ID	name	p	description
_79F6AB61B9E5010C	HandToHand	Кулачный бой	Кулачный бой	
_26BBA88C9D73D4A7	Harpoon	Гарпун	Гарпуны	
_2BCE3B7A5BDACBB6	HarpoonHunting	Подводная охота	Подводная охота	
_6859B085A7C998AF	Harvest	Добыча	Добычв	
_EB948CF094239D1E	HealingKamisKnowledge	Знание Ками: исцеление	Знание Ками: исцеление	
_F92866BFE38BCB95	HearWithering	Потеря слуха	Потеря слуха	
_640B62BEC91C82E5	HeavyArmourWear	Ношение тяжелого доспеха	Ношение тяжелого доспеха	
_71544EE048F0E123	HeavyWeapon	Тяжелое вооружение	Тяжелое вооружение	
_A8888C626796B06B	Hide	Скрытность	Скрытность	
_61E7E149D27F1BCF	HominOpponentConsiderWeapon	Оценка оружия противника	Оценка оружия противника	
_EDE50008D7249D1E	HuntingKamisKnowledge	Знание Ками: охота	Знание Ками: охота	
_E26A44A9F229689B	Jewellery	Украшения	Украшения	
_6836DC6A2C2798A7	Jungle	Джунгли	Джунгли	
_D43BDC86316D70C3	JungleExoticRawMaterialKnowledge	Знание редких ресурсов: джунгли	Знание редких ресурсов джунглей	
_D002AC767BE09178	JungleKamisKnowledge	Знание Ками: джунгли	Знание Ками: джунгли	
_48122A4F06FF7649	JungleTravel	Дороги джунглей	Дороги джунглей	
_66B8AC6A67086042	Kami	Ками	Ками	
_B2D412D83E3E19EF	KamicShield	Щит Ками	Щиты Ками	
_BFCCBDCE2A8BD517	KamicShock	Камийский шок	Камийский шок	
_6678EC6AE728C042	Kick	Удар ногой	Удары ногой	
_6629A89C6C9428A7	Kitin	Кхитин 	Кхитины	
_6478AC6C64A86045	Lake	Озерный край 	Озерный край	
_F97BD9096BA49380	LakeArmor	Доспех озерного края	Доспехи озерного края	
_B07CB462F9A9C8D8	LakeExoticRawMaterialKnowledge	Знание редких ресурсов Озерного края	Знание редких ресурсов Озерного края	
_28CFFC31CA6B47F2	LakeKamisKnowledge	Знание Ками: Озерный край	Знание Ками: Озерный край	
_FF4DC5E9C12A3403	LakeTravel	Дороги Озерного края	Дороги Озерного края	
_8B21013F85EEE200	LeadAnimal	Животное в поводу	Животное в поводу	
_404CCCFC606DB7A4	LeatherTailoring	Работа по коже	Работы по коже	
_04D81F0172B9CF5A	LeftHandedAttack	Ударить с левой руки	Ударить с левой руки	
_21775CB4E56D5B7C	LeftHandedParry	Парировать левой рукой	Парировать левой рукой	
_0C452E1ADB0F4DDD	LifeAlchemy	Алхимия жизни	Алхимия жизни	
_2687E4D96CC9C432	LifeGift	Дар жизни	Дары жизни	
_61EA3687978923C4	LightArmourWear	Ношение легкого доспеха	Ношение легкого доспеха	
_69374089A477E8A4	Madness	Безумие	Безумие	
_455DACCC024CA8F0	MagicObjects	Магический предмет	Магический предмет	
_4A1563AB5D130552	MagicTransfert	Передача магии	Передача магии	
_3C8E85DF39A1D502	MajorDryade	Высшая дриада	Высшая дриада	
_29D697CA61F99ED6	MajorHealLife	Значительное исцеление 	Значительное исцеление 	
_221426D45905F8BD	MajorLifeRegeneration	Значительная регенерация	Значительная регенерация	
_F38A5F79563A0FA9	MajorMandragore	Major Mandragore	Major Mandragores	
_B2D6DE9C984FBAD2	MajorSapHeal	Значительное восполнение Сэп	Значительное восполнение Сэп	
_6A3765DA24F200B7	MajorSapRegenearation	Значительная регенерация Сэп	Значительная регенерация Сэп	
_C3BDE5F46A8D2923	MajorSylve	Major Sylve	Major Sylves	
_2271748AD8753575	MajorTirednessHeal	Значительное восполнение выносливости	Значительное восполнение выносливости	
_CD60785A66010F6E	MajorTirednessRegenearation	Значительная регенерация выносливости	Значительная регенерация выносливости	
_01BCE9F0799924F8	MakeAnklet	Украшения: ножные браслеты	Украшения: ножные браслеты	
_E6E88B9DA26BDFC1	MakeAutolaunch	Изготовление аркебуз	Изготовление аркебуз	
_58A84D5F4AF94B44	MakeAutolaunchAmmo	Изготовление зарядов для аркебузы	Изготовление зарядов для аркебузы	
_90B8B46306581057	MakeAxe	Изготовление топоров	Изготовление топоров	
_90D8586406985859	MakeBag	Изготовление сумок	Изготовление сумок	
_836DED0DB76A28F3	MakeBowgun	Изготовление арбалетов	Изготовление арбалетов	
_6E7182DF96ED29C9	MakeBowgunAmmo	Изготовление зарядов для арбалета	Изготовление зарядов для арбалета	
_A1D515107FFE3A20	MakeBracelet	Украшения: браслеты	Украшения: браслеты	
_B3F506251E3059DC	MakeBuckler	Изготовление малых щитов	Изготовление малых щитов	
_392FB217A21035D5	MakeClothes	Пошив одежды	Пошив одежды	
_806CBDDFB589F0F9	MakeDagger	 кинжалов	Изготовление кинжалов	
_3F3C85E1F72910F4	MakeDiadem	Украшения: венец	Украшения: венец	
_BDACDE4D3678E9F7	MakeEaring	Украшения: серьги	Украшения: серьги	
_99CF9A08F5CB4324	MakeFireAmmos	Изготовление зажигательных зарядов	Изготовление зажигательных зарядов	
_6BFA2687EB3F65CE	MakeFireToughenedArmors	Изготовление огнеупорного доспеха	Изготовление огнеупорного доспеха	
_5DDB274FBD6D6B60	MakeFireWeapons	Изготовление огненного оружия	Изготовление огненного оружия	
_7A25B19EE3EF09CE	MakeFloralLivingJewels	"Изготовление ""живых"" украшений "	"Изготовление ""живых"" украшений "	
_D61E921DB8BE7F70	MakeFloralPatternLivingClothes	"Изготовление флоральных ""живых"" одеяний"	"Изготовление флоральных ""живых"" одеяний"	
_3564EA24DFAE45CB	MakeGrenade	Изготовление гранат	Изготовление гранат	
_5DB2A7D44F1CA3D5	MakeHarpoonGun	Изготовление гарпунных ружей	Изготовление гарпунных ружей	
_24321D769D476015	MakeHarpoonGunAmmo	Изготовление зарядов для гарпунных ружей	Изготовление зарядов для гарпунных ружей	
_24DAAAC9894A7EBA	MakeHeavyArmors	Изготовление тяжелого доспеха	Изготовление тяжелого доспеха	
_F12613925D5F5285	MakeHeavyBoots	Тяжелый доспех: сапоги	Тяжелый доспех: сапоги	
_61897E8DECF7D3AB	MakeHeavyGloves	Тяжелый доспех: рукавицы	Тяжелый доспех: рукавицы	
_DF9876EB2FC8ABA0	MakeHeavyHelmet	Тяжелый доспех: шлемы	Тяжелый доспех: шлемы	
_716683921D7F8A85	MakeHeavyPants	Тяжелый доспех: поножи	Тяжелый доспех: поножи	
_67688CED00A9176B	MakeHeavySleeves	Тяжелый доспех: наручи	Тяжелый доспех: наручи	
_99D5FEB80CE66203	MakeHeavyVest	Тяжелый доспех: кираса	Тяжелый доспех: кираса	
_42CD65D02155B99E	MakeJewels	Изготовление украшений	Изготовление украшений	
_34A8590FAE27CB85	MakeKamicClothes	Изготовление одеяний Ками	Изготовление одеяний Ками	
_95699B664F72967A	MakeKamicJewels	Изготовление украшений Ками	Изготовление одеяний Ками	
_9ACACF60BF7A2F6B	MakeKamicWeapon	Изготовление оружия Ками	Изготовление оружия Ками	
_ADBFC1E65BE62BD6	MakeLance	Изготовление копий	Изготовление копий	
_E164250C41DF1A49	MakeLauncher	Изготовление мортир	Изготовление мортир	
_DFDDC01F39E70A29	MakeLauncherAmmo	Изготовление зарядов для мортир	Изготовление зарядов для мортир	
_B1452B919ADE7A8D	MakeLightBoots	Легкий доспех: ботинки	Легкий доспех: ботинки	
_E2C98E83E6B7DFA5	MakeLightGloves	Легкий доспех: перчатки	Легкий доспех: перчатки	
_60D886E12988B79A	MakeLightHelmet	Легкий доспех: шлемы	Легкий доспех: шлемы	
_31859B915AFEB28D	MakeLightPants	Легкий доспех: штаны	Легкий доспех: штаны	
_686878DABD684F73	MakeLightSleeves	Легкий доспех: рукава	Легкий доспех: рукава	
_9A15EAA50A364A0D	MakeLightVest	Легкий доспех: нагрудник	Легкий доспех: нагрудник	
_93B5F2C0B18D74E6	MakeLongAxe	Изготовление бердышей	Изготовление бердышей	
_D630EAD54340E14A	MakeLongMace	Долгая булава	Долгая булава	
_1FD845A457C05A0E	MakeLongSword	Изготовление мечей 	Изготовление мечей 	
_2487A4CC28998435	MakeMace	Изготовление палиц	Изготовление палиц	
_249833D77C3DF353	MakeMediumArmors	Изготовление среднего доспеха	Изготовление среднего доспеха	
_5B045F5B9D1CE3A1	MakeMediumBoots	Средний доспех: Сапоги	Средний доспех: Сапоги	
_609817297DA8535F	MakeMediumGloves	Средний доспех: Перчатки	Средний доспех: Перчатки	
_35E84B28BD78EF5A	MakeMediumHelmet	Средний доспех: шлемы	Средний доспех: шлемы	
_5CD527699D1CDF92	MakeMediumPants	Средний доспех: поножи	Средний доспех: поножи	
_0371DC2A30794373	MakeMediumSleeves	Средний доспех: нарукавники	Средний доспех: нарукавники	
_302346DAD82D72D8	MakeMediumVest	Средний доспех: кираса	Средний доспех: кираса	
_6EF52BF62AAC8F82	MakeMeleeWeapons	Изготовление холодного оружия	Изготовление холодного оружия	
_3175AA365D2061D4	MakePendant	Украшения: кулоны	Украшения: кулоны	
_26B8A4CC2A99B040	MakePike	Изготовление пик	Изготовление пик	
_81DD09FDFE0B10FF	MakePistol	Изготовление пистолетов	Изготовление пистолетов	
_70426AD1DC7E01CF	MakePistolAmmo	Изготовление зарядов для пистолета	Изготовление зарядов для пистолета	
_0B53EDC45CF7C64C	MakePistolarc	Изготовление самострелов	Изготовление самострелов	
_1931C00DE17507E4	MakePistolarcAmmo	Изготовление зарядов для самострела	Изготовление зарядов для самострела	
_9E16DA9899F07C63	MakePoisonnousLivingWeapons	"Изготовление отравленного ""живого"" оружия "	"Изготовление отравленного ""живого"" оружия "	
_E763C9DD6B1E8891	MakeRangeWeaponAmmos	Изготовления зарядов для огнестрельного оружия	Изготовления зарядов для огнестрельного оружия	
_6D462BF82A8C9B89	MakeRangeWeapons	Изготовления огнестрельного оружия	Изготовление огнестрельного оружия	
_ADBFE5DEE3476BE2	MakeRifle	Изготовления винтовок	Изготовление винтовок	
_923F6E790CE45A15	MakeRifleAmmo	Изготовления зарядов для винтовок	Изготовление зарядов для винтовок	
_26D8A4CE6BC9C045	MakeRing	Украшения: кольца	Украшения: кольца	
_BFBC85EFBA9A0CFA	MakeShield	Изготовление щитов	Изготовление щитов	
_B99BAF7F594C2772	MakeShiftRepair	Ремонт на скорую руку	Ремонт на скорую руку	
_80F17C40F5C78AB9	MakeSurvivalTools	Make Survival Tool	Make Survival Tools	
_106EFD8DAB1A104A	MakeSurvivalWeapon	Make Survival Weapon	Make Survival Weapons	
_ADAFFDE56877DBE4	MakeSword	Изготовление коротких мечей	Изготовление коротких мечей	
_D45CC9816B7A4431	MakeThrowingWeapon	Изготовление метательного оружия	Изготовление метательного оружия	
_653AA10E2AD58F90	MakeTools	Изготовление инструментов	Изготовление инструментов	
_1BFFE53F570A7174	MakeTwo_handsMeleeWeapons	Изготовление двуручного холодного оружия	Изготовление двуручного холодного оружия	
_C76F960C986F940D	MakeTwo_handsRangeWeaponAmmos	Изготовление зарядов для тяжелого огнестрельного оружия 	Изготовление зарядов для тяжелого огнестрельного оружия	
_1B7F0D41D7CA8578	MakeTwo_handsRangeWeapons	Изготовление тяжелого огнестрельного оружия	Изготовление тяжелого огнестрельного оружия	
_00FEF1E56799011B	Mandragore	Mandragore	Mandragores	
_A067CE5043AC6D11	MandrakeFist	Mandrake Fist	Mandrake Fists	
_E779AC6EE7296048	Mass	Палица	Палицы	
_51682E7744501AF7	MassiveThrow	Метание с двух рук 	Метание с двух рук 	
_E7CB9C9EA95430A4	Matis	Матис	Матис	
_9C697DD5DC89B4C9	MatisGoods	Товары матисов	Товары матисов	
_5FE1918848E72E85	MatisMystery	Тайна матисов	Тайны матисов	
_6588B45C23E8D882	Mechanic	Механика	Механика	
_68CB5BE6FC3A1365	MediumArmourWear	Ношение среднего доспеха	Ношение среднего доспеха	
_E8D6A7C3A3B9BEE5	MinorLifeHeal	Малое исцеление	Малое исцеление	
_B396FE9C988FDAD2	MinorSapHeal	Малое восполнение сэп	Малое восполнение сэп	
_24B1948AD9F53579	MinorTirednessHeal	Малое восполнение выносливости	Малое восполнение выносливости	
_2E18A8746C872CB1	Mirror	Mirror	Mirrors	
_9728368C469559AB	MuscularFever	Воспаление мышц	Воспаление мышц	
_54894E6FC071E6F0	NervousFever	Нервическая лихорадка	Нервические лихорадки	
_822005071D640CD5	NightShot	Стрельба в темноте 	Стрельба в темноте	
_E2C84C702118504B	Nunb	Numb	Numbs	
_CC6FA50836A1CB1A	OnHorseBackMelee	Сражение верхом (на мектубах)	Сражение верхом (на мектубах)	
_4D6FC117BC020B1D	OnHorseBackShoot	Стрельба верхом (на мектубах)	Стрельба верхом (на мектубах)	
_6F2F01DC66B763ED	PainShare	Поделиться болью	Поделиться болью	
_6F19AD06AB0AC0A8	Paralysis	Паралич	Паралич	
_6478EC7464A8C051	Pike	Пика	Пики	
_C34AEBC50B046254	PikeHunting	Охота	Охота	
_AF69B07BEBB804B2	Pistol	Пистолет	Пистолет	
_FD34CAEA8B6E5530	PlantHatred	Ненависть растений 	Ненависть растений 	
_6A99BAAB0D732AD0	PointBlankShot	Выстрел в упор	Выстрел в упор	
_D12926744140D9ED	PrimaryRoots	Предвечные корни	Предвечные корни	
_467A5E4B9A8EF117	ProtectingKamisKnoledge	Знание Ками: защита	Знание Ками: защита	
_8B5E89F0661B5912	Quartering	Разделывать туши 	Разделывать туши 	
_7EB14916DE64E8C7	QuickShot	Быстрая стрельба	Быстрая стрельба	
_471F61E12C0BE121	QuickThrow	Ускоренное метание	Ускоренное метание	
_2BC8708860770493	Range	Дальность	Дальность	
_C7A03DE1A76C9524	RapidBurst	Rapid Burst	Rapid Bursts	
_2ACA647FEC1918BA	Resist	Противостоять	Противостоять	
_83000DCBACE9AD22	Resistance	Сопротивление	Сопротивление	
_4FD3CA66BDF4AA0F	RidePackers	Животное в поводу	Животное в поводу	
_E7978470A9C8B0A1	Riding	Езда верхом	Езда верхом	
_6D98848DA2772493	Rifle	Винтовка	Винтовки	
_01AE6100A8B9388D	RifleHunting	Стрельба	Стрельба	
_ACE7BC6F6E38208E	Rocket	Ракета	Ракета	
_2C1F1D07A2E72BEC	RockTabou	Rock Taboo	Rock Taboos	
_E4D8D8662478A887	Rondache	Rondache	Rondaches	
_20B83C93ACDB2CA4	Rot	Гниение	Гниение	
_6C38F096E77958AA	Running	Бег	Бег	
_797EED5580EE64DA	SapAlchemy	Алхимия сэп	Алхимия сэп	
_CD7C29A0B0199487	SapArmor	Sap Armor	Sap Armors	
_52A68091D1E694A7	SapGift	Дар сэп	Дар сэп	
_E5276C77A9B888A2	Shield	Щит	Щит	
_D6A39908094E2C18	ShootAndRun	Стрельба на бегу	Стрельба на бегу	
_FFD5024061125DEA	ShotProtect	Защита выстрела	Защита выстрела	
_A2050EE042021A3B	SlowingBreath	Замедление дыхания	Замедление дыхания	
_ABFCC680FB10A513	SlowingLife	Замедление жизни	Замедление жизни	
_EDA9A489A1E844A1	Spear	Копье	Копья	
_553066C79AA68E41	SpellDeletion	Удаление заклятия	Удаление заклятий	
_1F11DD768021726D	SpellProtect	Spell Protect	Spell Protects	
_A078F656C83EE11B	SpurtingFire	Spurting Fire	Spurting Fires	
_7DBF715287AF5529	Squandering	Squandering	Squanderings	
_650EE61E672F31D8	StallSetUp	Stall Set Up	Stall Set Ups	
_C84416CD93116660	StealBreath	Stealing Breath	Stealing Breaths	
_3BEE7169875ED501	StealLife	Похищение здоровья	Похищение здоровья	
_402E0D3927BE0919	StealSap	Похищение сэп	Похищение сэп	
_AB38E88EE2E8549A	Stick	Посох	Посохи	
_E4C8224705FEED16	StrenghtGift	Дар силы	Дар силы	
_E898307466E8F8A0	Swimming	Плавание	Плавание	
_AE79F4AB28F86093	Sword	Меч	Меч	
_8966EA607EEFD5F8	SylphicSlide	Sylphic Slide	Sylphic Slide	
_EF9904AEEAE86894	Sylve	Sylve	Sylves	
_7A6DD413630B1B9C	TactileWithering	Tactile Withering	Tactile Witherings	
_27E93C82EB58109D	Target	Target	Targets	
_2D8988826BF82CB1	Terror	Terror	Terrors	
_7131134C39C66BD8	TirednessAlchemy	Алхимия выносливости	Алхимия выносливости	
_E2980874E368E49D	Tracking	Следопыт	Следопыт	
_C88B1DCCE81365DE	TradingCenterKnowledge	Знание торговли	Знание торговли	
_A13AB38E5D3CF3CF	TrainingAgility	Развитие ловкости	Развитие ловкости	
_B3296EA39520E67B	TrainingAnimal	Дрессировка	Дрессировка	
_393BDC9EF56B12F0	TrainingCharisme	Развитие харизмы	Развитие харизмы	
_F3C965A093712C73	TrainingConstitution	Развитие здоровья	Развитие здоровья	
_0606975DBF5A2C72	TrainingDiseaseResist	Повышение сопротивляемости болезням	Повышение сопротивляемости болезням	
_B4FBA3A2F91B678A	TrainingEmpathie	Развитие эмпатии	Развитие эмпатии	
_97E386D1D4F59184	TrainingFearResist	Повышение неустрашимости	Повышение неустрашимости	
_9BDE0556D5C0A57B	TrainingHp	Повышение наносимого урона	Повышение наносимого урона	
_9128BB373BA1825C	TrainingHp2	Повышение наносимого урона 2	Повышение наносимого урона 2	
_9138BB377BA1825D	TrainingHp3	Повышение наносимого урона 3	Повышение наносимого урона 3	
_9148BB37BCA1825E	TrainingHp4	Повышение наносимого урона 4	Повышение наносимого урона 4	
_EB3991FDC7FD6AAE	TrainingImpactResist	Повышение сопротивляемости ударам	Повышение сопротивляемости ударам	
_2C19F97A8F6FDC52	TrainingIntelligence	Развитие интеллекта	Развитие интеллекта	
_ACADA57565D32514	TrainingMagicResist	Повышение сопротивляемости магии	Повышение сопротивляемости магии	
_093CFB3110027055	TrainingPerception	Развитие зоркости	Развитие зоркости	
_028F198928F86050	TrainingSeve	Повышение объема сэп	Повышение объема сэп	
_6BAC501B2CDF80CC	TrainingSeve2	Повышение объема сэп 2	Повышение объема сэп 2	
_6BBC501C2CDF80CD	TrainingSeve3	Повышение объема сэп 3	Повышение объема сэп 3	
_6BCC501D2CDF80CE	TrainingSeve4	Повышение объема сэп 4	Повышение объема сэп 4	
_E5BA03B24434BBD6	TrainingStamina	Повышение выносливости	Повышение выносливости	
_385BA21092115FF6	TrainingStamina2	Повышение выносливости 2	Повышение выносливости 2	
_385BA61012115FF6	TrainingStamina3	Повышение выносливости 3	Повышение выносливости 3	
_385BAA1094115FF6	TrainingStamina4	Повышение выносливости 4	Повышение выносливости 4	
_375D18C67B1C12EF	TrainingStrength	Развитие силы	Развитие силы	
_70179D0A46ED4EB1	TrainingTechnoResist	Повышение сопротивляемости техногенным воздействиям	Повышение сопротивляемости техногенным воздействиям	
_1E629490CAB05722	TrainingWellBalanced	Развитие сбалансированности	Развитие сбалансированности	
_20D6025A002E3116	TrainingWill	Развитие воли	Развитие воли	
_ECC9D489AE5810A4	Tryker	Трайкер	Трайкеры	
_402F501624D55420	TrykerGoods	Товары трайкеров	Товары трайкеров	
_CBB743E46993B57A	TrykerMystery	Тайна трайкеров	Тайны трайкеров	
_248432101928BBBE	TwoHandedCombat	Сражение двуручным оружием	Сражение двуручным оружием	
_E2FC6B5410562272	TwoHandsSword	Двуручный меч	Двуручные мечи	
_B76D4C20B7AD6450	UnderwaterExtract	Добыча ресурсов под водой	Добыча ресурсов под водой	
_B87B8EF095D9B2F0	VisualWithering	Visual Withering	Visual Witherings	
_C8A06DE5A7EC9528	VitalBurst	Vital Burst	Vital Bursts	
_E81EF286B90381FD	WarriorGift	Warrior Gift	Warrior Gifts	
_7A1C339955F3BD9B	WeaponsCutting	Weapons Cutting	Weapons Cuttings	
_2E3045112716B3BF	WindArmor	Wind Armor	Wind Armors	
_A687E4EE6EC9F032	WindGift	Wind Gift	Wind Gifts	
_2E300D099F3763E3	WindShear	Wind Shear	Wind Shears	
_AB51CA9C65185C9F	Zorai	Зораи	Зораи	
_1D1AA7DA5B30C8BD	ZoraiGoods	Товары зораи	Товары зораи	
_5DC1BB09C5A79A88	ZoraiMystery	Тайна зораи	Тайны зораи	
_38BF105E6F762063	TrainingImpactResist2	Повышение сопротивляемости ударам 2	Повышение сопротивляемости ударам 2	
_38BF145E6F762065	TrainingImpactResist3	Повышение сопротивляемости ударам 3	Повышение сопротивляемости ударам 3	
_172111EF5712135D	TrainingMagicResist2	Повышение сопротивляемости магии 2	Повышение сопротивляемости магии 2	
_573111EF5722135D	TrainingMagicResist3	Повышение сопротивляемости магии 3	Повышение сопротивляемости магии 3	
_9E1F915ACB35C52D	MakeEnchantedWeapons	Изготовление зачарованного оружия 	Изготовление зачарованного оружия 	
_9572881FC4B3A0FF	MakeEnchantedArmors	Изготовление зачарованного доспеха	Изготовление зачарованного доспеха	
_5E4664F242913805	MakeVampiricWeapons	Изготовление вампирического оружия	Изготовление вампирического оружия	
_F08B51C1E52ECB1C	MakeEnchantedFloralPatternLivingClothes	"Изготовление зачарованного флоральных ""живых"" одеяний"	"Изготовление зачарованного флоральных ""живых"" одеяний"	
_E1010856D5D5F588	MakeDeadlyHarpoongun	Изготовление смертоносных гарпунных ружей	Изготовление смертоносных гарпунных ружей	
_49D2F4340178168F	MakeHuntingArmors	Изготовление охотничьего доспеха	Изготовление охотничьего доспеха	
_C31F80337ECA6372	MakeRitualClothes	Изготовление ритуальных одеяний 	Изготовление ритуальных одеяний 	
_1DE8C3273B0B137B	MakeRitualJewels	Изготовление ритуальных украшений	Изготовление ритуальных украшений	
_D8145C8EEA5A3CA6	SC	Ремесло	Ремесло	Ремесло
_5654AC8E60988490	SM	Магия	Магия	Магия
_4A528987D8F5BA5B	SMT	Магия прямого воздействия	Магическое воздействие на выбранную цель	Магическое воздействие на выбранную цель
_29D259A451019CA9	SMTM	Трассирующее заклятье	Трассирующее заклятье, накладываемое на выбранную цель	Трассирующее заклятье, накладываемое на выбранную цель
_5C0F8F5DAF790C9D	SMTMR	Предвечная магия	Трассирующее заклятье предвечной магии 	Трассирующее заклятье предвечной магии 
_0AD18AB0336B9683	SMTMG	Атизианская магия	Трассирующее заклятье Атизианской магии	Трассирующее заклятье Атизианской магии
_D597B4747E2BAA66	SMTMB	Благая магия	Трассирующее заклятье благой магии	Трассирующее заклятье благой магии
_9F35DAC8D1B39346	SMTO	Боевая магия	Боевое магическое воздействие на выбранную цель 	Боевое магическое воздействие на выбранную цель 
_CB82E2397BAB1530	SMTOD	Повреждающая магия	Нанесение магического урона выбранной цели	Нанесение магического урона выбранной цели
_D9108D1AEB774F37	SMTODP	Проникающая магия	Нанесение проникающего магического урона выбранной цели	Нанесение проникающего магического урона выбранной цели
_1CA0811AACF71B33	SMTODB	Ударная магия 	Нанесение магического урона выбранной цели: удар	Нанесение магического урона выбранной цели: удар
_DCA081196CF75F33	SMTODS	Рубящая магия 	Нанесение рубящего магического урона выбранной цели	Нанесение рубящего магического урона выбранной цели
_4D659DBE6F770808	SMTOE	Магия стихий	Нанесение особого магического урона выбранной цели	Нанесение особого магического урона выбранной цели
_B35ED2172BAE8E5E	SMTOEC	Магия холода	Нанесение магического урона выбранной цели - холод	Нанесение магического урона выбранной цели - холод
_B35EC605A56E865E	SMTOEA	Магия кислот	Нанесение магического урона выбранной цели -кислота	Нанесение магического урона выбранной цели -кислота
_F117FF29E7251AB6	SMTOER	Магия гниения	Нанесение магического урона выбранной цели - гниение	Нанесение магического урона выбранной цели - гниение
_B36EF21DEA0E9A5E	SMTOEF	Магия огня	Нанесение магического урона выбранной цели - огонь	Нанесение магического урона выбранной цели - огонь
