*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_9E16DA9899F07C63	MakePoisonnousLivingWeapons	Fabrication d'une arme empoisonnée vivante 	une	la	Fabrications d'armes empoisonnées vivantes	des	les	
_E763C9DD6B1E8891	MakeRangeWeaponAmmos	Fabrication de munitions pour arme de tir	une	la	Fabrications de munitions pour armes de tir	des	les	
_6D462BF82A8C9B89	MakeRangeWeapons	Fabrication d'une arme de tir	une	la	Fabrications d'armes de tir	des	les	
_ADBFE5DEE3476BE2	MakeRifle	Fabrication d'un fusil	une	la	Fabrications de fusils	des	les	
_923F6E790CE45A15	MakeRifleAmmo	Fabrication de munitions pour fusil	une	la	Fabrications de munitions pour fusils	des	les	
_26D8A4CE6BC9C045	MakeRing	Fabrication d'une bague	une	la	Fabrications de bagues	des	les	
_BFBC85EFBA9A0CFA	MakeShield	Fabrication d'un bouclier	une	la	Fabrications de boucliers	des	les	
_B99BAF7F594C2772	MakeShiftRepair	Réparation de fortune	une	la	Réparations de fortune	des	les	
_80F17C40F5C78AB9	MakeSurvivalTools	Fabrication d'un outil de survie	une	la	Fabrications d'outils de survie	des	les	
_106EFD8DAB1A104A	MakeSurvivalWeapon	Fabrication d'une arme de survie	une	la	Fabrications d'armes de survie	des	les	
_ADAFFDE56877DBE4	MakeSword	Fabrication d'une épée	une	la	Fabrications d'épées	des	les	
_D45CC9816B7A4431	MakeThrowingWeapon	Fabrication d'une arme de lancer	une	la	Fabrications d'armes de lancer	des	les	
_653AA10E2AD58F90	MakeTools	Fabrication d'un outil	une	la	Fabrications d'outils	des	les	
_1BFFE53F570A7174	MakeTwo_handsMeleeWeapons	Fabrication d'une arme de mêlée à deux mains	une	la	Fabrications d'armes de mêlée à deux mains	des	les	
_C76F960C986F940D	MakeTwo_handsRangeWeaponAmmos	Fabrication de munitions pour armes de tir à deux mains	une	la	Fabrications de munitions pour armes de mêlée à deux mains	des	les	
_1B7F0D41D7CA8578	MakeTwo_handsRangeWeapons	Fabrication d'une arme de tir à deux mains	une	la	Fabrications d'armes de tir à deux mains	des	les	
_00FEF1E56799011B	Mandragore	Mandragore	une	la	Mandragores	des	les	
_A067CE5043AC6D11	MandrakeFist	Poing de mandragore	un	le	Poings de mandragores	des	les	
_E779AC6EE7296048	Mass	Massue	une	la	Massues	des	les	
_51682E7744501AF7	MassiveThrow	Lancer massif	un	le	Lancers massifs	des	les	
_E7CB9C9EA95430A4	Matis	Matis	un	le	Matis	des	les	
_9C697DD5DC89B4C9	MatisGoods	Biens matis			Biens matis	des	les	
_5FE1918848E72E85	MatisMystery	Mystère matis	un	le	Mystères matis	des	les	
_6588B45C23E8D882	Mechanic	Mécanicien	un	le	Mécaniciens	des	les	
_68CB5BE6FC3A1365	MediumArmourWear	Vêtement pour armure moyenne	un	le	Vêtements armures moyennes	des	les	
_E8D6A7C3A3B9BEE5	MinorLifeHeal	Guérison mineure de vie	une	la	Guérisons mineures de vie	des	les	
_B396FE9C988FDAD2	MinorSapHeal	Guérison mineure de sève	une	la	Guérisons mineures de sève	des	les	
_24B1948AD9F53579	MinorTirednessHeal	Guérison mineure de Fatigue	une	la	Guérisons mineures de fatigue	des	les	
_2E18A8746C872CB1	Mirror	Miroir	un	le	Miroirs	des	les	
_9728368C469559AB	MuscularFever	Fièvre musculaire	une	la	Fièvres musculaires	des	les	
_54894E6FC071E6F0	NervousFever	Fièvre nerveuse	une	la	Fièvres nerveuses	des	les	
_822005071D640CD5	NightShot	Tir de nuit	un	le	Tirs de nuits	des	les	
_E2C84C702118504B	Nunb	Engourdissement	un	l'\d	Engourdissements	des	les	
_CC6FA50836A1CB1A	OnHorseBackMelee	Combat à dos de mektoub	un	le	Combats à dos de mektoubs	des	les	
_4D6FC117BC020B1D	OnHorseBackShoot	Fusillade à dos de mektoub	une	la	Fusillades à dos de mektoubs	des	les	
_6F2F01DC66B763ED	PainShare	Partage de la douleur	un	le	Partages de la douleur	des	les	
_6F19AD06AB0AC0A8	Paralysis	Paralysie	une	la	Paralysies	des	les	
_6478EC7464A8C051	Pike	Pique	une	la	Piques	des	les	
_C34AEBC50B046254	PikeHunting	Chasse à la pique	une	la	Chasses à la pique	des	les	
_AF69B07BEBB804B2	Pistol	Pistolet	un	le	Pistolets	des	les	
_FD34CAEA8B6E5530	PlantHatred	Haine des plantes	une	la	Haine des plantes	des	les	
_6A99BAAB0D732AD0	PointBlankShot	Tir à bout portant	un	le	Tirs à bout portant	des	les	
_D12926744140D9ED	PrimaryRoots	Prime Racine	une	la	Primes Racines	des	les	
_467A5E4B9A8EF117	ProtectingKamisKnoledge	Connaissance des Kamis protecteurs	une	la	Connaissances des Kamis protecteurs	des	les	
_8B5E89F0661B5912	Quartering	Dépeçage	un	le	Dépeçages	des	les	
_7EB14916DE64E8C7	QuickShot	Tir rapide	un	le	Tirs rapides	des	les	
_471F61E12C0BE121	QuickThrow	Lancer rapide	un	le	Lancers rapides	des	les	
_2BC8708860770493	Range	Portée	une	la	Portées	des	les	
_C7A03DE1A76C9524	RapidBurst	Explosion rapide	une	l'\d	Explosions rapides	des	les	
_2ACA647FEC1918BA	Resist	Résister			Résister			
_83000DCBACE9AD22	Resistance	Résistance	une	la	Résistances	des	les	
_4FD3CA66BDF4AA0F	RidePackers	Premier animal de bât	un	le	Premiers animaux de bât	des	les	
_E7978470A9C8B0A1	Riding	Monte	une	la	Montes	des	les	
_6D98848DA2772493	Rifle	Fusil	un	le	Fusils	des	les	
_01AE6100A8B9388D	RifleHunting	Fusillade	une	la	Fusillades	des	les	
_ACE7BC6F6E38208E	Rocket	Roquette	une	la	Roquettes	des	les	
_2C1F1D07A2E72BEC	RockTabou	Rocher tabou	un	le	Rochers tabous	des	les	
_E4D8D8662478A887	Rondache	Rondache	une	la	Rondaches	des	les	
_20B83C93ACDB2CA4	Rot	Pourriture	une	la	Pourritures	des	les	
_6C38F096E77958AA	Running	Course	une	la	Courses	des	les	
_797EED5580EE64DA	SapAlchemy	Alchimie de la sève	une	l'\d	Alchimies de la sève	des	les	
_CD7C29A0B0199487	SapArmor	Armure de sève	une	l'\d	Armures de sève	des	les	
_52A68091D1E694A7	SapGift	Don de sève	un	le	Dons de sève	des	les	
_E5276C77A9B888A2	Shield	Bouclier	un	le	Boucliers	des	les	
_D6A39908094E2C18	ShootAndRun	Tirer en se déplaçant			Tirer en se déplaçant			
_FFD5024061125DEA	ShotProtect	Protection de tir	une	la	Protections de tir	des	les	
_A2050EE042021A3B	SlowingBreath	Ralentisseur de souffle	un	le	Ralentisseurs de Souffle	des	les	
_ABFCC680FB10A513	SlowingLife	Ralentisseur de vie	un	le	Ralentisseurs de vie	des	les	
_EDA9A489A1E844A1	Spear	Lance	une	la	Lances	des	les	
_553066C79AA68E41	SpellDeletion	Suppression d'un sort	une	la	Suppressions de sorts	des	les	
_1F11DD768021726D	SpellProtect	Protection d'un sort	une	la	Protections de sorts	des	les	
_A078F656C83EE11B	SpurtingFire	Feu jaillissant	un	le	Feux jaillissants	des	les	
_7DBF715287AF5529	Squandering	Gaspillage	un	le	Gaspillages	des	les	
_650EE61E672F31D8	StallSetUp	Montage d'une stalle	un	le	Montages de stalles	des	les	
_C84416CD93116660	StealBreath	Souffle voleur	un	le	Souffles voleurs	des	les	
_3BEE7169875ED501	StealLife	Vie voleuse	une	la	Vies voleuses	des	les	
_402E0D3927BE0919	StealSap	Sève voleuse	une	la	Sève voleuse	des	les	
_AB38E88EE2E8549A	Stick	Bâton	un	le	Bâtons	des	les	
_E4C8224705FEED16	StrenghtGift	Don de force	un	le	Dons de force	des	les	
_E898307466E8F8A0	Swimming	Nage	une	la	Nages	des	les	
_AE79F4AB28F86093	Sword	Épée	une	l'\d	Épées	des	les	
_8966EA607EEFD5F8	SylphicSlide	Glissement sylphique	un	le	Glissements sylphiques	des	les	
_EF9904AEEAE86894	Sylve	Sylve	un	le	Sylves	des	les	
_7A6DD413630B1B9C	TactileWithering	Affaiblissement du toucher	un	l'\d	Affaiblissements du toucher	des	les	
_27E93C82EB58109D	Target	Cible	une	la	Cibles	des	les	
_2D8988826BF82CB1	Terror	Terreur	une	la	Terreurs	des	les	
_7131134C39C66BD8	TirednessAlchemy	Alchimie de la fatigue	une	l'\d	Alchimies de la fatigue	des	les	
_E2980874E368E49D	Tracking	Pistage	un	le	Pistages	des	les	
_C88B1DCCE81365DE	TradingCenterKnowledge	Connaissance du centre de troc	une	la	Connaissances du centre de troc	des	les	
_A13AB38E5D3CF3CF	TrainingAgility	Entraînement de l'agilité	un	l'\d	Entraînements de l'agilité	des	les	
_B3296EA39520E67B	TrainingAnimal	Entraînement sur les animaux	un	l'\d	Entraînements sur les animaux	des	les	
_393BDC9EF56B12F0	TrainingCharisme	Entraînement du charisme	un	l'\d	Entraînements du charisme	des	les	
_F3C965A093712C73	TrainingConstitution	Entraînement de la constitution	un	l'\d	Entraînements de la constitution	des	les	
_0606975DBF5A2C72	TrainingDiseaseResist	Entraînement de résistance aux maladies	un	l'\d	Entraînements de résistance aux maladies	des	les	
_B4FBA3A2F91B678A	TrainingEmpathie	Entraînement de l'empathie	un	l'\d	Entraînements de l'empathie	des	les	
_97E386D1D4F59184	TrainingFearResist	Entraînement de résistance à la peur	un	l'\d	Entraînements de résistance à la peur	des	les	
_9BDE0556D5C0A57B	TrainingHp	Entraînement des points de vie	un	l'\d	Entraînements des points de vie	des	les	
_9128BB373BA1825C	TrainingHp2	Entraînement des points de vie 2	un	l'\d	Entraînements des points de vie 2	des	les	
_9138BB377BA1825D	TrainingHp3	Entraînement des points de vie 3	un	l'\d	Entraînements des points de vie 3	des	les	
_9148BB37BCA1825E	TrainingHp4	Entraînement des points de vie 4	un	l'\d	Entraînements des points de vie 4	des	les	
_EB3991FDC7FD6AAE	TrainingImpactResist	Entraînement de résistance aux impacts	un	l'\d	Entraînements de résistance aux impacts	des	les	
_2C19F97A8F6FDC52	TrainingIntelligence	Entraînement de l'Intelligence	un	l'\d	Entraînements de l'Intelligence	des	les	
_ACADA57565D32514	TrainingMagicResist	Entraînement de résistance à la magie	un	l'\d	Entraînements de résistance à la magie	des	les	
_093CFB3110027055	TrainingPerception	Entraînement de la perception	un	l'\d	Entraînements de la perception	des	les	
_028F198928F86050	TrainingSeve	Entraînement de la sève	un	l'\d	Entraînements de la sève	des	les	
_6BAC501B2CDF80CC	TrainingSeve2	Entraînement de la sève 2	un	l'\d	Entraînements de la sève 2	des	les	
_6BBC501C2CDF80CD	TrainingSeve3	Entraînement de la sève 3	un	l'\d	Entraînements de la sève 3	des	les	
_6BCC501D2CDF80CE	TrainingSeve4	Entraînement de la sève 4	un	l'\d	Entraînements de la sève 4	des	les	
_E5BA03B24434BBD6	TrainingStamina	Entraînement de l'endurance 2	un	l'\d	Entraînements de l'endurance	des	les	
_385BA21092115FF6	TrainingStamina2	Entraînement de l'endurance 2	un	l'\d	Entraînements de l'endurance 2	des	les	
