*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_6678EC6AE728C042	Kick	Patada	una	la	Patadas		las	
_6629A89C6C9428A7	Kitin	Kitin	un	el	Kitin		los	
_6478AC6C64A86045	Lake	Lago	un	el	Lagos		los	
_F97BD9096BA49380	LakeArmor	Armadura los Lagos		la	Armaduras los Lagos		las	
_B07CB462F9A9C8D8	LakeExoticRawMaterialKnowledge	Conocimiento de la materia prima exótica del lago	un	el	Conocimientos de la materia prima exótica del lago		los	
_28CFFC31CA6B47F2	LakeKamisKnowledge	Conocimiento Kami del lago	un	el	Conocimientos Kamis del lago		los	
_FF4DC5E9C12A3403	LakeTravel	Viaje al Lago	un	el	Viajes al Lago		los	
_8B21013F85EEE200	LeadAnimal	Animal Guía	un	el	Animales Guías		los	
_404CCCFC606DB7A4	LeatherTailoring	Confección de cuero	una	la	Confecciones de cueros		las	
_04D81F0172B9CF5A	LeftHandedAttack	Ataque con la mano izquierda	un	el	Ataques con la mano izquierda		los	
_21775CB4E56D5B7C	LeftHandedParry	Desvío entregado por la izquierda	un	el	Desvíos entregados por la izquierda		los	
_0C452E1ADB0F4DDD	LifeAlchemy	Alquimia de Vida	una	la	Alquimias de Vida		las	
_2687E4D96CC9C432	LifeGift	Regalo de Vida	un	el	Regalos de Vida		los	
_61EA3687978923C4	LightArmourWear	Llevar/portar Armadura liviana	una	la	Llevar/portar Armaduras livianas		las	
_69374089A477E8A4	Madness	Locura	una	la	Locuras		las	
_455DACCC024CA8F0	MagicObjects	Objeto mágico			Objetos mágicos		los	
_4A1563AB5D130552	MagicTransfert	Transferencia mágica	una	la	Transferencias mágicas		las	
_3C8E85DF39A1D502	MajorDryade	Driada Principal	una	la	Driadas Principales		las	
_29D697CA61F99ED6	MajorHealLife	Curacion de Vida Principal	una	la	Curaciones de Vida Principales		las	
_221426D45905F8BD	MajorLifeRegeneration	Regeneracion de Vida Principal	una	la	Regeneraciones de Vida Principales		las	
_F38A5F79563A0FA9	MajorMandragore	Mandragore Principal	un	el	Mandragores Principales		los	
_B2D6DE9C984FBAD2	MajorSapHeal	Curacion de Savia Principal	una	la	Curaciones de Savia Principales		las	
_6A3765DA24F200B7	MajorSapRegenearation	Regeneracion de Savia Principal	una	la	Regeneraciones de Savia Principales		las	
_C3BDE5F46A8D2923	MajorSylve	Sylve Principal	una	la	Sylves Principales		las	
_2271748AD8753575	MajorTirednessHeal	Curacion del Cansancio Principal	una	la	Curaciones del Cansancio Principales		las	
_CD60785A66010F6E	MajorTirednessRegenearation	Regeneracion del Cansancio Principal	una	la	Regeneraciones del Cansancio Principales		las	
_01BCE9F0799924F8	MakeAnklet	Fabricar Tobillera	una	la	Fabricar Tobilleras		las	
_E6E88B9DA26BDFC1	MakeAutolaunch	Fabricar Autolanzador	un	el	Fabricar Autolanzadores		los	
_58A84D5F4AF94B44	MakeAutolaunchAmmo	Make Autolauncher Ammo	a	the	Make Autolauncher Ammo		the	
_90B8B46306581057	MakeAxe	Fabricar Hacha	un	el	Fabricar Hachas		las	
_90D8586406985859	MakeBag	Fabricar Bolso	un	el	Fabricar Bolsos		los	
_836DED0DB76A28F3	MakeBowgun	Fabricar Arma de arco	un	la	Fabricar Armas de arco		las	
_6E7182DF96ED29C9	MakeBowgunAmmo	Fabricar munición de armas de arco	un	la	Fabricar municiones de arma de arco		las	
_A1D515107FFE3A20	MakeBracelet	Fabricar Brazalete	un	el	Fabricar Brazaletes		los	
_B3F506251E3059DC	MakeBuckler	Fabricar Escudos de defensa	un	el	Fabricar Escudos de defensa		los	
_392FB217A21035D5	MakeClothes	Fabricar Ropa	un	la	Fabricar Ropas		las	
_806CBDDFB589F0F9	MakeDagger	Fabricar Daga	una	la	Fabricar Dagas		las	
_3F3C85E1F72910F4	MakeDiadem	Fabricar Diadema	una	la	Fabricar Diademas		las	
_BDACDE4D3678E9F7	MakeEaring	Fabricar Arete	un	el	Fabricar Aretes		los	
_99CF9A08F5CB4324	MakeFireAmmos	Fabricar munición Incendiaria	una	la	Fabricar municiones Incendiarias		las	
_6BFA2687EB3F65CE	MakeFireToughenedArmors	Fabricar Armadura Templada al Fuego	una	la	Fabricar Armaduras Templadas al Fuego		las	
_5DDB274FBD6D6B60	MakeFireWeapons	Fabricar Arma de Fuego	un	el	Fabricar Armas de Fuego		las	
_7A25B19EE3EF09CE	MakeFloralLivingJewels	Fabricar joya  de flores vivas	una	la	Fabricar joyas de flores vivas		las	
_D61E921DB8BE7F70	MakeFloralPatternLivingClothes	Fabricar ropa de flores viva	una	la	Fabricar ropas de flores vivas		las	
_3564EA24DFAE45CB	MakeGrenade	Fabricar Granada	una	la	Fabricar Granadas		las	
_5DB2A7D44F1CA3D5	MakeHarpoonGun	Fabricar un Arma de arpón	un	el	Fabricar Armas de arpón		las	
_24321D769D476015	MakeHarpoonGunAmmo	Fabricar munición del Arma de arpón	una	el	Fabricar municiones de armas de arpón		las	
_24DAAAC9894A7EBA	MakeHeavyArmors	Fabricar Armadura Pesada	una	la	Fabricar Armaduras Pesadas		las	
_F12613925D5F5285	MakeHeavyBoots	Fabricar Botas Pesadas	unas	las	Fabricar Botas Pesadas		las	
_61897E8DECF7D3AB	MakeHeavyGloves	Fabricar Guantes pesados	unos	los	Fabricar Guantes pesados		los	
_DF9876EB2FC8ABA0	MakeHeavyHelmet	Fabricar Cascos pesados	unos	los	Fabricar Cascos pesados		los	
_716683921D7F8A85	MakeHeavyPants	Fabricar Pantalones pesados	unos	los	Fabricar Pantalones pesados		los	
_67688CED00A9176B	MakeHeavySleeves	Fabricar mangas Pesadas	unas	las	Fabricar mangas Pesadas		las	
_99D5FEB80CE66203	MakeHeavyVest	Fabricar Chalecos pesados	unos	los	Fabricar Chalecos pesados		los	
_42CD65D02155B99E	MakeJewels	Fabricar Joyas	unas	las	Fabricar Joyas		las	
_34A8590FAE27CB85	MakeKamicClothes	Fabricar Ropa Kami	una	la	Fabricar Ropas Kami		las	
_95699B664F72967A	MakeKamicJewels	Fabricar Joyas Kami	unas	las	Fabricar Joyas Kami		las	
_9ACACF60BF7A2F6B	MakeKamicWeapon	Fabricar Armas Kami	unas	las	Fabricar Armas Kami		las	
_ADBFC1E65BE62BD6	MakeLance	Fabricar Lanza	una	la	Fabricar Lanzas		las	
_E164250C41DF1A49	MakeLauncher	Fabricar Lanzador	un	el	Fabricar Lanzadores		los	
_DFDDC01F39E70A29	MakeLauncherAmmo	Fabricar munición de Lanzador	una	la	Fabricar municiones de Lanzador		las	
_B1452B919ADE7A8D	MakeLightBoots	Fabricar Botas ligeras	unas	las	Fabricar Botas ligeras		las	
_E2C98E83E6B7DFA5	MakeLightGloves	Fabricar Guantes liviano	unos	los	Fabricar Guantes ligeros		los	
_60D886E12988B79A	MakeLightHelmet	Fabricar Casco liviano	un	el	Fabricar Cascos livianos		los	
_31859B915AFEB28D	MakeLightPants	Fabricar Pantalones livianos	unos	los	Fabricar Pantalones livianos		los	
_686878DABD684F73	MakeLightSleeves	Fabricar mangas livianas	unas	las	Fabricar mangas livianas		las	
_9A15EAA50A364A0D	MakeLightVest	Fabricar Chaleco liviano	un	el	Fabricar Chaleco liviano		los	
_93B5F2C0B18D74E6	MakeLongAxe	Fabricar Hacha Larga	una	el	Fabricar Hachas Largas		las	
_D630EAD54340E14A	MakeLongMace	Fabricar mazo Largo	un	el	Fabricar mazos Largos		los	
_1FD845A457C05A0E	MakeLongSword	Fabricar Espada Larga	una	la	Fabricar Espadas Largas		las	
_2487A4CC28998435	MakeMace	Fabricar mazo	un	el	Fabricar mazos		los	
_249833D77C3DF353	MakeMediumArmors	Fabricar Armadura mediana	una	la	Fabricar Armaduras medianas		las	
_5B045F5B9D1CE3A1	MakeMediumBoots	Fabricar Botas medianas	una	la	Fabricar Botas medianas		las	
_609817297DA8535F	MakeMediumGloves	Fabricar Guantes medianos	unos	los	Fabricar Guantes medianos		los	
_35E84B28BD78EF5A	MakeMediumHelmet	Fabricar Casco mediano	un	el	Fabricar Cascos medianos		los	
_5CD527699D1CDF92	MakeMediumPants	Fabricar Pantalones medianos	unos	los	Fabricar Pantalones medianos		los	
_0371DC2A30794373	MakeMediumSleeves	Fabricar mangas medianas	unas	las	Fabricar mangas medianas		las	
_302346DAD82D72D8	MakeMediumVest	Fabricar Chaleco mediano	un	el	Fabricar Chalecos medianos		los	
_6EF52BF62AAC8F82	MakeMeleeWeapons	Fabricar Arma de lucha cuerpo a cuerpo	un	el	Fabricar Armas de lucha cuerpo a cuerpo		las	
_3175AA365D2061D4	MakePendant	Fabricar Pendiente	un	el	Fabricar Pendientes		los	
_26B8A4CC2A99B040	MakePike	Fabricar Pico	un	el	Fabricar Picos		los	
_81DD09FDFE0B10FF	MakePistol	Fabricar Pistola	una	la	Fabricar Pistolas		las	
_70426AD1DC7E01CF	MakePistolAmmo	Fabricar munición de pistola	una	la	Fabricar municiones de pistola		las	
_0B53EDC45CF7C64C	MakePistolarc	Fabricar Pistola de arco	una	la	Fabricar Pistolas de arco		las	
_1931C00DE17507E4	MakePistolarcAmmo	Fabricar munición de pistola de arco	una	la	Fabricar municiones de pistola de arco		las	
_9E16DA9899F07C63	MakePoisonnousLivingWeapons	Fabricar Arma Venenosa Viva	un	el	Fabricar Armas Venenosas Vivas		las	
_E763C9DD6B1E8891	MakeRangeWeaponAmmos	Fabricar munición de arma de alcance	una	el	Fabricar municiones de armas de tiro		las	
_6D462BF82A8C9B89	MakeRangeWeapons	Fabricar Arma de alcance	un	el	Fabricar Armas de alcance		las	
_ADBFE5DEE3476BE2	MakeRifle	Fabricar Rifle	un	el	Fabricar Rifles		los	
_923F6E790CE45A15	MakeRifleAmmo	Fabricar munición de rifle	una	la	Fabricar municiones de rifle		las	
_26D8A4CE6BC9C045	MakeRing	Fabricar Anillo	un	el	Fabricar Anillos		los	
_BFBC85EFBA9A0CFA	MakeShield	Fabricar Escudo	un	el	Fabricar Escudos		los	
_B99BAF7F594C2772	MakeShiftRepair	Reparación Improvisada	una	la	Reparaciones Improvisadas		las	
_80F17C40F5C78AB9	MakeSurvivalTools	Fabricar Herramienta de Supervivencia	una	la	Fabricar Herramientas de Supervivencia		las	
_106EFD8DAB1A104A	MakeSurvivalWeapon	Fabricar Arma de Supervivencia	un	el	Fabricar Armas de Supervivencia		las	
_ADAFFDE56877DBE4	MakeSword	Fabricar Espada	una	la	Fabricar Espadas		las	
_D45CC9816B7A4431	MakeThrowingWeapon	Fabricar Arma de Lanzamiento	un	el	Fabricar Armas de Lanzamiento		las	
_653AA10E2AD58F90	MakeTools	Fabricar Herramienta	una	la	Fabricar Herramientas		las	
_1BFFE53F570A7174	MakeTwo_handsMeleeWeapons	Fabricar Arma de Lucha Cuerpo de cuerpo de dos manos	una	el	Fabricar Arma de lucha cuerpo a cuerpo de dos manos		las	
_C76F960C986F940D	MakeTwo_handsRangeWeaponAmmos	Fabricar munición de armas de lucha cuerpo a cuerpo de dos manos	una	ka	Fabricar municiones de armas de lucha cuerpo a cuerpo		las	
_1B7F0D41D7CA8578	MakeTwo_handsRangeWeapons	Fabricar Arma de alcance de dos manos	un	el	Fabricar Armas de alcance de dos manos		las	
_00FEF1E56799011B	Mandragore	Mandrágora	un	el	Mandrágoras		los	
_A067CE5043AC6D11	MandrakeFist	Puno de madrake	un	el	Puños de mandrake		los	
_E779AC6EE7296048	Mass	Mazos	un	el	Mazos		los	
_51682E7744501AF7	MassiveThrow	Lanzamiento masivo	un	el	Lanzamientos masivos		los	
_E7CB9C9EA95430A4	Matis	Matis	un	el	Matis		los	
_9C697DD5DC89B4C9	MatisGoods	Mercancía Matis			Mercancías Matis		las	
_5FE1918848E72E85	MatisMystery	Misterio Matis	un	el	Misterios Matis		los	
_6588B45C23E8D882	Mechanic	Mecánico	un	el	Mecánicos		los	
_68CB5BE6FC3A1365	MediumArmourWear	Llevar Armadura mediana	una	la	Llevar Armaduras medianas		las	
_E8D6A7C3A3B9BEE5	MinorLifeHeal	Curación de Vida menor	una	la	Curaciones de Vida menores		las	
_B396FE9C988FDAD2	MinorSapHeal	Curación de Sabia menor	una	la	Curacionones de Savia menores		las	
_24B1948AD9F53579	MinorTirednessHeal	Sanación de cansancio menor	una	la	Sanaciones de cansancio menores		las	
_2E18A8746C872CB1	Mirror	Espejo	un	el	Espejos		los	
_9728368C469559AB	MuscularFever	Fiebre muscular	una	la	Fiebres musculares		las	
_54894E6FC071E6F0	NervousFever	Fiebre Nerviosa	una	la	Fiebres Nerviosas		las	
_822005071D640CD5	NightShot	Disparo Nocturno	un	el	Disparos Nocturnos		los	
_E2C84C702118504B	Nunb	Adormedicimento	un	el	Adormecimientos		los	
_CC6FA50836A1CB1A	OnHorseBackMelee	Combate montado	un	el	Combates montados		los	
_4D6FC117BC020B1D	OnHorseBackShoot	Disparo montado	un	el	Disparos montados		los	
_6F2F01DC66B763ED	PainShare	Compartir el Dolor	un	el	Compartir el Dolor		el	
_6F19AD06AB0AC0A8	Paralysis	Parálisis	una	la	Parálisis		las	
_6478EC7464A8C051	Pike	Pico	un	el	Picos		los	
_C34AEBC50B046254	PikeHunting	Cacería de la Criatura	una	la	Cacerías de la Criatura		las	
_AF69B07BEBB804B2	Pistol	Pistola	una	la	Pistolas		las	
_FD34CAEA8B6E5530	PlantHatred	Planta de Odio	una	la	Plantas de Odio		las	
_6A99BAAB0D732AD0	PointBlankShot	Disparo a Quemarropa	un	el	Disparos a Quemarropa		los	
_D12926744140D9ED	PrimaryRoots	Primeras Raíces	unas	las	Primeras Raíces		las	
_467A5E4B9A8EF117	ProtectingKamisKnoledge	Protección de los Conocimientos Kamis	una	la	Protección de los Conocimientos Kami		las	
_8B5E89F0661B5912	Quartering	Descuartizamiento	un	el	Descuartizamientos		los	
_7EB14916DE64E8C7	QuickShot	Disparos Rápidos	un	el	Disparos Rápidos		los	
_471F61E12C0BE121	QuickThrow	Tiro Rápido	un	el	Tiros Rápidos		los	
_2BC8708860770493	Range	Guardabosque	un	el	Guardabosques		los	
_C7A03DE1A76C9524	RapidBurst	Ráfaga Rápida	una	la	Ráfagas Rápidas		las	
_2ACA647FEC1918BA	Resist	Resistencia/Oponerse	una	la	Resistencias/Oponerse		las	
_83000DCBACE9AD22	Resistance	Resistencia	una	la	Resisencias		las	
_4FD3CA66BDF4AA0F	RidePackers	Animal de carga Líder	un	el	Animales de carga lideres		los	
_E7978470A9C8B0A1	Riding	Cabalgata	una	la	Cabalgatas		las	
_6D98848DA2772493	Rifle	Rifle	un	el	Rifles		los	
_01AE6100A8B9388D	RifleHunting	Disparo	un	el	Disparos		los	
_ACE7BC6F6E38208E	Rocket	Rocket	un	el	Rockets		los	
_2C1F1D07A2E72BEC	RockTabou	Piedra Taboo	una	la	Piedras Tabúes		las	
_E4D8D8662478A887	Rondache	Rondache	un	el	Rondaches		los	
_20B83C93ACDB2CA4	Rot	Podredumbre	un	la	Prodredumbres		las	
_6C38F096E77958AA	Running	Carrera	una	la	Carreras		las	
_797EED5580EE64DA	SapAlchemy	Alquimia de la Savia	una	la	Alquimias de la Savia		las	
_CD7C29A0B0199487	SapArmor	Armadura de Savia	una	la	Armaduras de Savia		las	
_52A68091D1E694A7	SapGift	Regalo de Savia	un	el	Regalos de Savia		los	
_E5276C77A9B888A2	Shield	Escudo Kamic	un	el	Escudos Kamis		los	
_D6A39908094E2C18	ShootAndRun	Tiro y Carrera	un	el	Tiro y Carreras		los	
_FFD5024061125DEA	ShotProtect	Protección del Tiro	una	la	Protecciones a los Tiros		las	
_A2050EE042021A3B	SlowingBreath	Desaceleración de la Respiración	una	la	Desaceleración de las Reparaciones		las	
_ABFCC680FB10A513	SlowingLife	Desaceleración de la Vida	una	la	Desaceleración de las Vidas		las	
_EDA9A489A1E844A1	Spear	Lanza	un	la	Lanzas		las	
_553066C79AA68E41	SpellDeletion	Cancelación del Hechizo	una	la	Cancelación de los Hechizos		las	
_1F11DD768021726D	SpellProtect	Protección contra un Hechizo	un	el	Protección contra los Hechizos		las	
_A078F656C83EE11B	SpurtingFire	Brote de Fuego	un	el	Brotes de Fuego		los	
_7DBF715287AF5529	Squandering	Desperdicio	un	el	Desperdicios		los	
_650EE61E672F31D8	StallSetUp	Establecimiento de puesto	un	el	Establecimiento de puestos		los	
_C84416CD93116660	StealBreath	Robando Aliento	un	el	Robando Alientos		el	
_3BEE7169875ED501	StealLife	Robo de Vida	un	el	Robo de Vidas		el	
_402E0D3927BE0919	StealSap	Robo de Savia	un	el	Robo de Savia		el	
_AB38E88EE2E8549A	Stick	Pentagrama	un	el	Pentagramas		los	
_E4C8224705FEED16	StrenghtGift	Regalo de Fuerza	un	el	Regalos de Fuerza		los	
_E898307466E8F8A0	Swimming	Nado	un	el	Nados		los	
_AE79F4AB28F86093	Sword	Espada	una	la	Espadas		las	
_8966EA607EEFD5F8	SylphicSlide	Diapositiva de Silfide	una	la	Diapositiva de Silfide		las	
_EF9904AEEAE86894	Sylve	Sylve	una	la	Sylves		las	
_7A6DD413630B1B9C	TactileWithering	Marchitez táctil	una	la	Marchiteces Táctiles		las	
_27E93C82EB58109D	Target	Objetivo	un	el	Objetivos		los	
_2D8988826BF82CB1	Terror	Terror	un	el	Terrores		los	
_7131134C39C66BD8	TirednessAlchemy	Alquimia del Cansancio	una	la	Alquimias del Cansancio		las	
_E2980874E368E49D	Tracking	Rastreo	un	el	Rastreos/Seguimientos		los	
_C88B1DCCE81365DE	TradingCenterKnowledge	Conocimiento del Centro de comercio	un	el	Conocimientos del Centro de comercio		los	
_A13AB38E5D3CF3CF	TrainingAgility	Entrenamiento de agilidad	un	el	Entrenamiento de agilidades		los	
_B3296EA39520E67B	TrainingAnimal	Adiestramiento Animal	un	el	Adiestramiento de animales		los	
_393BDC9EF56B12F0	TrainingCharisme	Formación de carisma	una	la	Formación de carismas		las	
_F3C965A093712C73	TrainingConstitution	Constitución de entrenamiento	una	la	Constituciones de entrenamiento		las	
_0606975DBF5A2C72	TrainingDiseaseResist	Entrenamiento para la Resistencia a la Enfermedad	un	el	Entrenamiento para la Resistencia a las Enfermedades		el	
_B4FBA3A2F91B678A	TrainingEmpathie	Entrenamiento de la Empatía	un	el	Entrenamiento de las Empatías		el	
_97E386D1D4F59184	TrainingFearResist	Entrenamiento de resistencia al miedo	un	el	Entrenamiento de resistencias al miedo		el	
_9BDE0556D5C0A57B	TrainingHp	Entrenamiento de puntos de golpe 1			Entrenamiento de puntos de golpe 1			
_9128BB373BA1825C	TrainingHp2	Entrenamiento de puntos de golpe 2			Entrenamiento de puntos de golpe 2			
_9138BB377BA1825D	TrainingHp3	Entrenamiento de puntos de golpe 3			Entrenamiento de puntos de golpe 3			
_9148BB37BCA1825E	TrainingHp4	Entrenamiento de puntos de golpe 4			Entrenamiento de puntos de golpe 4			
_EB3991FDC7FD6AAE	TrainingImpactResist	Entrenamiento de la Resistencia al Impacto	un	el	Entrenamiento de la Resistencias al Impacto		el	
_2C19F97A8F6FDC52	TrainingIntelligence	Entrenamiento de la Inteligencia	un	el	Entrenamiento de la Inteligencia		el	
_ACADA57565D32514	TrainingMagicResist	Entrenamiento de la Resistencia a la magia	un	el	Entrenamiento de las Resistencias a la magia		el	
_093CFB3110027055	TrainingPerception	Entrenamiento de la Percepción	un	el	Entrenamiento de las Percepciones		los	
_028F198928F86050	TrainingSeve	Entrenamiento de la Savia			Entrenamiento de la Savia			
_6BAC501B2CDF80CC	TrainingSeve2	Entrenamiento de la Savia 2			Entrenamiento de la Savia 2			
_6BBC501C2CDF80CD	TrainingSeve3	Entrenamiento de la Savia 3			Entrenamiento de la Savia 3			
_6BCC501D2CDF80CE	TrainingSeve4	Entrenamiento de la Savia 4			Entrenamiento de la Savia 4			
_E5BA03B24434BBD6	TrainingStamina	Entrenamiento de la Resistencia	un	el	Entrenamiento de la Resistencia		el	
_385BA21092115FF6	TrainingStamina2	Entrenamiento de la Resistencia 2	un	el	Entrenamiento de la Resistencia 2			
_385BA61012115FF6	TrainingStamina3	Entrenamiento de la Resistencia 3	un	el	Entrenamiento de la Resistencia 3			
_385BAA1094115FF6	TrainingStamina4	Entrenamiento de la Resistencia 4	un	el	Entrenamiento de la Resistencia 4			
_375D18C67B1C12EF	TrainingStrength	Entrenamiento de la Fuerza	un	el	Entrenamientos de las Fuerzas		los	
_70179D0A46ED4EB1	TrainingTechnoResist	Entrenamiento de la Tecno Resistencia	un	el	Entrenamientos de las Tecno Resistencias		los	
_1E629490CAB05722	TrainingWellBalanced	Entrenamiento del Buen Equilibrio	un	el	Entrenamiento del Buen Equilibrio		el	
_20D6025A002E3116	TrainingWill	Entrenamiento de la Voluntad	un	el	Entrenamiento de la Voluntad		el	
