*HASH_VALUE	outpost ID	name	description
_D8762257F536008A	tryker_outpost_22.outpost	Atelier des Cimes Jumelles	Avant-poste fondé en 2487, abandonné en 2493\n Défi pour guildes de rang expert\n Un atelier qui prit de l'expansion sous l'influence d'un riche artisan tryker. Un scandale éclata quand on découvrit qu'il devait sa fortune à une étroite collaboration avec la tribu des Esclavagistes. L'artisan fut arrêté, et l'avant-poste fut alors géré par une guilde fédérale jusqu'à son abandon.
_B11ACD519839AD43	tryker_outpost_24.outpost	Atelier de la Route des Vents	Avant-poste fondé en 2484, abandonné en 2493\n Défi pour guildes de rang confirmé\n Cet avant-poste fut construit autour du premier grand trépan installé par la Karavan sur les nouvelles terres. Grâce à cette machine bénie par Jena, les artisans de la tribu des Sculpteurs de Vase ont très tôt pu expérimenter de nouveaux matériaux issus des profondeurs d'Atys. Ils sont les pères de l'artisanat des avant-postes.
_D35FE6C01736C84C	tryker_outpost_29.outpost	Forteresse de Loria	Avant-poste fondé en 2490, abandonné en 2493\n Défi pour guildes de rang maître\n Après l'installation de son grand trépan, cet avant-poste fut attaqué par les Frères de la Lagune, qui s'approprièrent les précieuses ressources extraites par la foreuse. Un régiment de l'armée fédérale fut envoyé sur place pour reconquérir l'avant-poste. Les soldats écrasèrent les pirates puis édifièrent une forteresse qu'ils dédièrent à Loria, la célèbre héroïne tryker.
_14719DD3A0341BBF	tryker_outpost_31.outpost	Forteresse du Tourbillon	Avant-poste fondé en 2489, abandonné en 2493\n Défi pour guildes de rang maître\n L'emplacement stratégique de cet avant-poste, proche du vortex conduisant au Lac de la Liberté, en a fait longtemps une cible privilégiée pour les bandits et autres pirates qui hantent le Lagon de Loria. Un fort a donc été construit afin de repousser les attaques. De nombreux affrontements ont eu lieu devant ses murs, avant que l'avant-poste ne soit abandonné.
_A8E93FA99BDB4436	zorai_outpost_02.outpost	Atelier de Gu-Qin	Avant-poste fondé en 2490, abandonné en 2494\n Défi pour guildes de rang expert\n Un atelier qui se développa sous l'influence d'un compagnon artisan zoraï nommé Gu-Qin, qui avait décidé de braver la menace de la Goo. Malheureusement, il fut contaminé par le fléau pourpre. Malgré les soins de ses apprentis, Gu-Qin sombra dans la folie. Il disparut une nuit d'hiver ; jusqu'à l'abandon de l'avant-poste quelques années plus tard, les artisans de l'atelier juraient qu'ils entendaient parfois son rire dément porté par les vents de la jungle.
_CAD14424711A6CBD	zorai_outpost_08.outpost	Atelier de Qai-Du	Avant-poste fondé en 2490, abandonné en 2494\n Défi pour guildes de rang apprenti\n Cet atelier fut mis en place par le maître joaillier Qai-Du, illustre membre de la tribu des Iconodoules. Son savoir-faire et sa piété firent beaucoup dans la reconnaissance de l'artisanat zoraï auprès des traditionalistes, qui ont longtemps considéré la fabrication d'objets profanes comme une perte de temps.
_9AF53CB170CAA29D	zorai_outpost_10.outpost	Forteresse de Sai-Shun	Avant-poste fondé en 2490, abandonné en 2494\n Défi pour guildes de rang confirmé\n Construite au milieu de la jungle du Bosquet Vierge, la forteresse de Sai-Shun fut en première ligne dans la campagne contre les kitins qui démarra en 2490. Le général Sai-Shun établit ses quartiers dans l'avant-poste, et jura de ne quitter l'endroit que lorsque la menace de l'Essaim serait écartée. Il tint parole et combattit durant deux ans aux côtés de la Force de la Fraternité.
_E344209D01FD73B5	zorai_outpost_15.outpost	Atelier des Ruines de Zo-Kian	Avant-poste fondé en 2492, abandonné en 2494\n Défi pour guildes de rang maître\n Cet avant-poste fut établi au nord-est des ruines de Zo-Kian, à l'origine un petit village fondé par des chasseurs zoraïs. Ces chasseurs pistaient les gibbaïs qui étaient alors nombreux dans cette partie de la jungle, faisant fi des superstitions de leur peuple prétendant que tuer ces animaux proches des homins portait malheur. Une nuit, le village fut attaqué par des hordes de créatures inconnues et complètement détruit. Quelques années plus tard, des explorateurs découvrirent l'existence de gibbaïs supérieurs dans la région. Beaucoup pensent qu'ils seraient responsables de la fin de Zo-Kian : ils auraient réagi aux attaques des chasseurs.
_A9B1E17037E0BF79	zorai_outpost_16.outpost	Forteresse de la Vallée Perdue	Avant-poste fondé en 2491, abandonné en 2494\n Défi pour guildes de rang maître\n Cet avant-poste a été fortifié suite à des attaques répétées d'animaux contaminés par la Goo. Des foyers d'infection furent découverts au nord-ouest, dans la Vallée Perdue. Plusieurs expéditions furent envoyés pour tenter de les détruire, mais sans grand succès. Lorsque l'arbre-vrille présent sur l'avant-poste commença à se faner, contaminé par le fléau pourpre, cela sonne le glas de la forteresse qui fut rapidement abandonnée.
_E897424AD4725452	zorai_outpost_22.outpost	Avant-Poste Diplomatique du Croisement du Démon	Avant-poste fondé en 2492, abandonné en 2494\n Défi pour guildes de rang initié\n Peu après l'installation d'un arbre-vrille sur cet avant-poste, un démon de la jungle fut attiré par l'activité kamique et rôda dans les environs. Il était plein de rage, la Goo rongeait son essence. Un sage zoraï, membre de la Compagnie de l'Arbre Éternel, le trouva et parvint à le guérir de son mal. Le démon se transforma en esprit lumineux puis bénit le Zoraï, qui devint un saint parmi les saints. Après ce miracle, l'avant-poste servit de lieu de rencontre entre tous les kamistes de toute la région.
_0F508D96CC6A8DA7	zorai_outpost_29.outpost	Atelier de l'Arrière-pays	Avant-poste fondé en 2491, abandonné en 2494\n Défi pour guildes de rang expert\n L'activité de cet avant-poste fut développée dans la région désertique du Noeud de la Démence par Cardarus Vekian, un armurier fyros. L'absence de végétation exubérante permit à l'artisan d'utiliser les techniques de fabrication de son peuple, basées sur l'emploi du feu, sans risquer de déclencher un incendie. Méfiants de prime abord, des commerçants de Zora finirent par s'intéresser au travail de ce Fyros. Vekian devint un artisan renommé dans tout le Pays Malade, et de nombreux guerriers zoraïs étaient fiers de porter des armes sorties de sa forge.
_6FE48772D9E253F3	matis_outpost_03.outpost	Ferme du Marécage de l'Angoisse	Avant-poste fondé en 2492, abandonné en 2493\n Défi pour guildes de rang expert\n Établi à proximité des Marécages de l'Angoisse, l'activité de cet avant-poste s'est centrée sur la récolte de ressources et le nettoyage des marais envahis par la Goo. Des heurts ont eu lieu avec la tribu des Embourbés quand ces derniers ont découvert que les matières contaminées n'étaient pas détruites, mais envoyées à Yrkanis ou dans le sud-est pour différentes expérimentations. Ils ont alors accusé les Matis de propager la Goo. Les scientifiques royaux ont nié catégoriquement ces allégations, assurant que toutes les précautions étaient prises pour empêcher toute contamination.
_640FA7D9C6414BD7	matis_outpost_07.outpost	Ferme de l'Inventeur	Avant-poste fondé en 2491, abandonné en 2493\n Défi pour guildes de rang confirmé\n Un savant matis, cherchant l'inspiration divine, décida de s'installer sur l'avant-poste pour profiter du grand trépan et avoir accès à des matériaux rares sanctifiés par la Déesse. Il fit de nombreuses expérimentations, et découvrit notamment une nouvelle poudre de forage permettant de faire surgir de l'Écorce plusieurs sources à la fois. L'avant-poste devint alors le rendez-vous des prospecteurs désireux d'essayer cette poudre miracle.
_D6CD5001FB9E622C	matis_outpost_15.outpost	Poste d'Échange du Monticule des Psykoplas	Avant-poste fondé en 2491, abandonné en 2493\n Défi pour guildes de rang apprenti\n C'est une petite guilde marchande qui développa le commerce sur cet avant-poste. Initialement, de nombreux prospecteurs se retrouvaient sur le site du grand trépan installé par la Karavan pour troquer leurs matériaux. Un colporteur tryker eut l'idée d'installer sur place une structure pour faciliter ces échanges, moyennant une modeste commission. Il créa une guilde avec des négociants matis, qui prospéra jusqu'à la fermeture de l'avant-poste.
_DCD910ED7E62A2C2	matis_outpost_17.outpost	Atelier du Réveil	Avant-poste fondé en 2490, abandonné en 2493\n Défi pour guildes de rang initié\n Un atelier construit non loin d'un vortex menant aux profondeurs des Primes Racines. Il a été le premier mis en place sur le Sommet Verdoyant. Son nom fait référence au début d'une période d'intense activité pour le peuple matis : la mise en place des avant-postes, la lutte contre les kitins, et le tracé de nouvelles routes commerciales.
_34B4FC4C6451CC84	matis_outpost_24.outpost	Forteresse du Bosquet Ouest	Avant-poste fondé en 2492, abandonné en 2493\n Défi pour guildes de rang maître\n Un avant-poste construit dans les profondeurs sylvestres du Bosquet de la Confusion. Il a été fortifié pour combattre la tribu des Dryades, des homins fanatiques qui se considèrent comme les défenseurs des plantes. De nombreux botanistes matis ont péri entre leurs mains, accusés de torture envers la flore atysienne.
_0C19BCC74DB35B36	matis_outpost_27.outpost	Atelier de Ginti	Avant-poste fondé en 2491, abandonné en 2493\n Défi pour guildes de rang maître\n Sevalda Ginti fut l'une des plus illustres botanistes matis de la fin du XXVe siècle. Elle fut la disciple de Bravichi Lenardi. Lorsque la Karavan posa des grands trépans dans le Bosquet de la Confusion, elle quitta la serre d'Yrkanis pour aller travailler au coeur de la jungle. Elle fit de nombreuses recherches et perfectionna l'artisanat des armures grâce à ses découvertes sur les résines. Elle disparut dans des circonstances mystérieuses.
_F1B1343B89EF309D	matis_outpost_30.outpost	Poste Frontière de la Gorge de Berello	Avant-poste fondé en 2491, abandonné en 2493\n Défi pour guildes de rang expert\n Fortifié sous le commandement du capitaine matis Arcando Berello, ce poste frontière fut le théâtre de nombreux affrontements avec la tribu des Pillards du désert. L'enjeu était de taille, car celui qui contrôlait l'avant-poste contrôlait le passage entre les oasis du nord et les plateaux arides au sud de la région. Berello s'illustra par sa ténacité et son sens tactique, et même les barbares fyros en vinrent à respecter leur ennemi.
_431F0D331FF1DD57	marauder_light_melee_fighter_b.outpost_squad	Escouade de guerriers maraudeurs	
_431F0D331FF1E157	marauder_light_melee_fighter_c.outpost_squad	Escouade de guerriers maraudeurs	
_431F0D331FF1E557	marauder_light_melee_fighter_d.outpost_squad	Escouade de guerriers maraudeurs	
_431F0D331FF1E957	marauder_light_melee_fighter_e.outpost_squad	Escouade de guerriers maraudeurs	
_431F0D331FF1ED57	marauder_light_melee_fighter_f.outpost_squad	Escouade de guerriers maraudeurs	
_243AE24310D10D5D	marauder_light_range_fighter_b.outpost_squad	Escouade de tireurs maraudeurs	
_243AE24310D1115D	marauder_light_range_fighter_c.outpost_squad	Escouade de tireurs maraudeurs	
_243AE24310D1155D	marauder_light_range_fighter_d.outpost_squad	Escouade de tireurs maraudeurs	
_243AE24310D1195D	marauder_light_range_fighter_e.outpost_squad	Escouade de tireurs maraudeurs	
_243AE24310D11D5D	marauder_light_range_fighter_f.outpost_squad	Escouade de tireurs maraudeurs	
_302F323E1AB2D6B3	marauder_light_mixed_fighter_b.outpost_squad	Escouade de combattants maraudeurs	
_302F323E1AB2DAB3	marauder_light_mixed_fighter_c.outpost_squad	Escouade de combattants maraudeurs	
_302F323E1AB2DEB3	marauder_light_mixed_fighter_d.outpost_squad	Escouade de combattants maraudeurs	
_302F323E1AB2E2B3	marauder_light_mixed_fighter_e.outpost_squad	Escouade de combattants maraudeurs	
_302F323E1AB2E6B3	marauder_light_mixed_fighter_f.outpost_squad	Escouade de combattants maraudeurs	
_CA7E8470D81A655E	free_squad_light_melee_fighter_b.outpost_squad	Escouade de miliciens	Une escouade de huit recrues mercenaires de rang apprenti, composée de guerriers et de deux guérisseurs, équipés d'armes rapides et d'armures légères.
_EA0D947415F96160	free_squad_light_melee_fighter_c.outpost_squad	Escouade de miliciens	Une escouade de huit recrues mercenaires de rang confirmé, composée de guerriers et de deux guérisseurs, équipés d'armes rapides et d'armures légères.
_0EDB1B3AD99DEBE8	free_squad_light_melee_fighter_d.outpost_squad	Escouade de miliciens	Une escouade de huit recrues mercenaires de rang initié, composée de guerriers et de deux guérisseurs, équipés d'armes rapides et d'armures légères.
_0EDB4543550E13E4	free_squad_light_melee_fighter_e.outpost_squad	Escouade de miliciens	Une escouade de huit recrues mercenaires de rang expert, composée de guerriers et de deux guérisseurs, équipés d'armes rapides et d'armures légères.
_0EDB094359F5B7EC	free_squad_light_melee_fighter_f.outpost_squad	Escouade de miliciens	Une escouade de huit recrues mercenaires de rang maître, composée de guerriers et de deux guérisseurs, équipés d'armes rapides et d'armures légères.
_AEFD62A80D8439DC	outpost_squad_light_melee_fighter_b.outpost_squad	Escouade d'escarmoucheurs	Une escouade de huit mercenaires de rang apprenti, composée de guerriers et de deux guérisseurs, équipés d'armes rapides et d'armures légères.
_2E1546AC0EC331DB	outpost_squad_light_melee_fighter_c.outpost_squad	Escouade d'escarmoucheurs	Une escouade de huit mercenaires de rang confirmé, composée de guerriers et de deux guérisseurs, équipés d'armes rapides et d'armures légères.
_916FBA4FBDE5DA3D	outpost_squad_light_melee_fighter_d.outpost_squad	Escouade d'escarmoucheurs	Une escouade de huit mercenaires de rang initié, composée de guerriers et de deux guérisseurs, équipés d'armes rapides et d'armures légères.
_907FBADAFFF4F647	outpost_squad_light_melee_fighter_e.outpost_squad	Escouade d'escarmoucheurs	Une escouade de huit mercenaires de rang expert, composée de guerriers et de deux guérisseurs, équipés d'armes rapides et d'armures légères.
_928FBACBFFE5F030	outpost_squad_light_melee_fighter_f.outpost_squad	Escouade d'escarmoucheurs	Une escouade de huit mercenaires de rang maître, composée de guerriers et de deux guérisseurs, équipés d'armes rapides et d'armures légères.
_DA9562D33825667D	outpost_squad_medium_melee_fighter_b.outpost_squad	Escouade de spadassins	Une escouade de huit mercenaires de rang apprenti, composée de guerriers en armures moyennes équipés d'armes légères, certains portant un bouclier, et d'un guérisseur.
_99846A5376667671	outpost_squad_medium_melee_fighter_c.outpost_squad	Escouade de spadassins	Une escouade de huit mercenaires de rang confirmé, composée de guerriers en armures moyennes équipés d'armes légères, certains portant un bouclier, et d'un guérisseur.
_C8A275AF3AE0C006	outpost_squad_medium_melee_fighter_d.outpost_squad	Escouade de spadassins	Une escouade de huit mercenaires de rang initié, composée de guerriers en armures moyennes équipés d'armes légères, certains portant un bouclier, et d'un guérisseur.
_CA4365AF3A89E4F7	outpost_squad_medium_melee_fighter_e.outpost_squad	Escouade de spadassins	Une escouade de huit mercenaires de rang expert, composée de guerriers en armures moyennes équipés d'armes légères, certains portant un bouclier, et d'un guérisseur.
_A9D285AF3A98E406	outpost_squad_medium_melee_fighter_f.outpost_squad	Escouade de spadassins	Une escouade de huit mercenaires de rang maître, composée de guerriers en armures moyennes équipés d'armes légères, certains portant un bouclier, et d'un guérisseur.
_31917ACDA8B6D507	outpost_squad_heavy_melee_fighter_b.outpost_squad	Escouade de hastaires	Une escouade de huit mercenaires de rang apprenti, composée de guerriers en armures lourdes équipés d'armes à deux mains, et d'un guérisseur.
_74E072CC28BEB902	outpost_squad_heavy_melee_fighter_c.outpost_squad	Escouade de hastaires	Une escouade de huit mercenaires de rang confrimé, composée de guerriers en armures lourdes équipés d'armes à deux mains, et d'un guérisseur.
_5F9729077C762AA3	outpost_squad_heavy_melee_fighter_d.outpost_squad	Escouade de hastaires	Une escouade de huit mercenaires de rang initié, composée de guerriers en armures lourdes équipés d'armes à deux mains, et d'un guérisseur.
_A1B645117B762A2E	outpost_squad_heavy_melee_fighter_e.outpost_squad	Escouade de hastaires	Une escouade de huit mercenaires de rang expert, composée de guerriers en armures lourdes équipés d'armes à deux mains, et d'un guérisseur.
_A1B73FFA7D762A1F	outpost_squad_heavy_melee_fighter_f.outpost_squad	Escouade de hastaires	Une escouade de huit mercenaires de rang maître, composée de guerriers en armures lourdes équipés d'armes à deux mains, et d'un guérisseur.
_2B09BFC50EF80C5E	outpost_squad_tank_b.outpost_squad	Escouade de protecteurs	Une escouade de huit mercenaires de rang apprenti, composée de guerriers en armures lourdes équipés d'armes légères et de boucliers, ainsi qu'un guérisseur.
_2A29C1BE0F38DC5C	outpost_squad_tank_c.outpost_squad	Escouade de protecteurs	Une escouade de huit mercenaires de rang confirmé, composée de guerriers en armures lourdes équipés d'armes légères et de boucliers, ainsi qu'un guérisseur.
_F8B55F7529227DE0	outpost_squad_tank_d.outpost_squad	Escouade de protecteurs	Une escouade de huit mercenaires de rang initié, composée de guerriers en armures lourdes équipés d'armes légères et de boucliers, ainsi qu'un guérisseur.
_BB755F75CCB341E7	outpost_squad_tank_e.outpost_squad	Escouade de protecteurs	Une escouade de huit mercenaires de rang expert, composée de guerriers en armures lourdes équipés d'armes légères et de boucliers, ainsi qu'un guérisseur.
_35F55F7508B37D65	outpost_squad_tank_f.outpost_squad	Escouade de protecteurs	Une escouade de huit mercenaires de rang maître, composée de guerriers en armures lourdes équipés d'armes légères et de boucliers, ainsi qu'un guérisseur.
_5601C36FA8D20761	outpost_squad_light_range_fighter_b.outpost_squad	Escouade de francs-tireurs	Une escouade de huit mercenaires de rang apprenti, composée de tireurs en armures moyennes équipés de pistolets, et d'un guérisseur.
_76A0D373A5B10363	outpost_squad_light_range_fighter_c.outpost_squad	Escouade de francs-tireurs	Une escouade de huit mercenaires de rang confirmé, composée de tireurs en armures moyennes équipés de pistolets, et d'un guérisseur.
_A5F22FBC0B41E9D0	outpost_squad_light_range_fighter_d.outpost_squad	Escouade de francs-tireurs	Une escouade de huit mercenaires de rang initié, composée de tireurs en armures moyennes équipés de pistolets, et d'un guérisseur.
_A50259C547B211CC	outpost_squad_light_range_fighter_e.outpost_squad	Escouade de francs-tireurs	Une escouade de huit mercenaires de rang expert, composée de tireurs en armures moyennes équipés de pistolets, et d'un guérisseur.
_A5121DC50B99B5D4	outpost_squad_light_range_fighter_f.outpost_squad	Escouade de francs-tireurs	Une escouade de huit mercenaires de rang maître, composée de tireurs en armures moyennes équipés de pistolets, et d'un guérisseur.
_C403E2D6AEC519C7	outpost_squad_medium_range_fighter_b.outpost_squad	Escouade de tirailleurs	Une escouade de huit mercenaires de rang apprenti, composée de tireurs en armures moyennes équipés de fusils, et d'un guérisseur.
_C323E4CFAF05E9C5	outpost_squad_medium_range_fighter_c.outpost_squad	Escouade de tirailleurs	Une escouade de huit mercenaires de rang confirmé, composée de tireurs en armures moyennes équipés de fusils, et d'un guérisseur.
_89DC33F311346898	outpost_squad_medium_range_fighter_d.outpost_squad	Escouade de tirailleurs	Une escouade de huit mercenaires de rang initié, composée de tireurs en armures moyennes équipés de fusils, et d'un guérisseur.
_4C9C33F3B4C52C9F	outpost_squad_medium_range_fighter_e.outpost_squad	Escouade de tirailleurs	Une escouade de huit mercenaires de rang expert, composée de tireurs en armures moyennes équipés de fusils, et d'un guérisseur.
_C61C33F3F0C5681D	outpost_squad_medium_range_fighter_f.outpost_squad	Escouade de tirailleurs	Une escouade de huit mercenaires de rang maître, composée de tireurs en armures moyennes équipés de fusils, et d'un guérisseur.
_1043FDD2C7CB4EF4	outpost_squad_heavy_range_fighter_b.outpost_squad	Escouade d'artilleurs	Une escouade de huit mercenaires de rang apprenti, composée de tireurs équipés de mitrailleuses et de lance-grenades, et d'un guérisseur.
_1192F5D147D332F8	outpost_squad_heavy_range_fighter_c.outpost_squad	Escouade d'artilleurs	Une escouade de huit mercenaires de rang confirmé, composée de tireurs équipés de mitrailleuses et de lance-grenades, et d'un guérisseur.
_99F2301FEE875442	outpost_squad_heavy_range_fighter_d.outpost_squad	Escouade d'artilleurs	Une escouade de huit mercenaires de rang initié, composée de tireurs équipés de mitrailleuses et de lance-grenades, et d'un guérisseur.
_DB114C29ED8754CD	outpost_squad_heavy_range_fighter_e.outpost_squad	Escouade d'artilleurs	Une escouade de huit mercenaires de rang expert, composée de tireurs équipés de mitrailleuses et de lance-grenades, et d'un guérisseur.
_DB124612EF8754BE	outpost_squad_heavy_range_fighter_f.outpost_squad	Escouade d'artilleurs	Une escouade de huit mercenaires de rang maître, composée de tireurs équipés de mitrailleuses et de lance-grenades, et d'un guérisseur.
_70CFDE9FE7F12A5B	outpost_squad_light_mixed_fighter_b.outpost_squad	Escouade de harceleurs	Une escouade de huit mercenaires de rang apprenti, composée de guerriers et de tireurs équipés d'armes rapides et de pistolets, ainsi qu'un guérisseur.
_6DBEDAA107803A5F	outpost_squad_light_mixed_fighter_c.outpost_squad	Escouade de harceleurs	Une escouade de huit mercenaires de rang confirmé, composée de guerriers et de tireurs équipés d'armes rapides et de pistolets, ainsi qu'un guérisseur.
_BBDA84BDC96B2A68	outpost_squad_light_mixed_fighter_d.outpost_squad	Escouade de harceleurs	Une escouade de huit mercenaires de rang initié, composée de guerriers et de tireurs équipés d'armes rapides et de pistolets, ainsi qu'un guérisseur.
_F75BACB9C96B5471	outpost_squad_light_mixed_fighter_e.outpost_squad	Escouade de harceleurs	Une escouade de huit mercenaires de rang expert, composée de guerriers et de tireurs équipés d'armes rapides et de pistolets, ainsi qu'un guérisseur.
_BB5250C1C96B1871	outpost_squad_light_mixed_fighter_f.outpost_squad	Escouade de harceleurs	Une escouade de huit mercenaires de rang maître, composée de guerriers et de tireurs équipés d'armes rapides et de pistolets, ainsi qu'un guérisseur.
_314148BBFC1D44FA	outpost_squad_medium_mixed_fighter_b.outpost_squad	Escouade de combattants	Une escouade de huit mercenaires de rang apprenti, composée de guerriers et de tireurs équipés d'armes légères et de fusils, certains portant un bouclier, ainsi qu'un guérisseur.
_30614AB4FD5D14F8	outpost_squad_medium_mixed_fighter_c.outpost_squad	Escouade de combattants	Une escouade de huit mercenaires de rang confirmé, composée de guerriers et de tireurs équipés d'armes légères et de fusils, certains portant un bouclier, ainsi qu'un guérisseur.
_AE1C15053C1DCD73	outpost_squad_medium_mixed_fighter_d.outpost_squad	Escouade de combattants	Une escouade de huit mercenaires de rang initié, composée de guerriers et de tireurs équipés d'armes légères et de fusils, certains portant un bouclier, ainsi qu'un guérisseur.
_71DC1505DFAE917A	outpost_squad_medium_mixed_fighter_e.outpost_squad	Escouade de combattants	Une escouade de huit mercenaires de rang expert, composée de guerriers et de tireurs équipés d'armes légères et de fusils, certains portant un bouclier, ainsi qu'un guérisseur.
_EB5C15051BAECDF8	outpost_squad_medium_mixed_fighter_f.outpost_squad	Escouade de combattants	Une escouade de huit mercenaires de rang maître, composée de guerriers et de tireurs équipés d'armes légères et de fusils, certains portant un bouclier, ainsi qu'un guérisseur.
_83F65F3F71561BD2	outpost_squad_nukers_b.outpost_squad	Escouade d'élémentalistes	Une escouade de huit mercenaires de rang apprenti, composée de magiciens adeptes des sorts de destruction, et d'un guérisseur.
_84362F3D307621CB	outpost_squad_nukers_c.outpost_squad	Escouade d'élémentalistes	Une escouade de huit mercenaires de rang confirmé, composée de magiciens adeptes des sorts de destruction, et d'un guérisseur.
_58207E496F02F1FB	outpost_squad_nukers_d.outpost_squad	Escouade d'élémentalistes	Une escouade de huit mercenaires de rang initié, composée de magiciens adeptes des sorts de destruction, et d'un guérisseur.
_FBB14250F2C2F5FB	outpost_squad_nukers_e.outpost_squad	Escouade d'élémentalistes	Une escouade de huit mercenaires de rang expert, composée de magiciens adeptes des sorts de destruction, et d'un guérisseur.
_37B17ECE2C42F9FB	outpost_squad_nukers_f.outpost_squad	Escouade d'élémentalistes	Une escouade de huit mercenaires de rang maître, composée de magiciens adeptes des sorts de destruction, et d'un guérisseur.
_A60073A524657344	outpost_squad_offensive_linkers_b.outpost_squad	Escouade d'envoûteurs	Une escouade de huit mercenaires de rang apprenti, composée de magiciens adeptes des sorts de lien offensifs (débilitants et élémentaires), et d'un guérisseur.
_E441839AA3547BC4	outpost_squad_offensive_linkers_c.outpost_squad	Escouade d'envoûteurs	Une escouade de huit mercenaires de rang confirmé, composée de magiciens adeptes des sorts de lien offensifs (débilitants et élémentaires), et d'un guérisseur.
_C95D4E469B8A51DF	outpost_squad_offensive_linkers_d.outpost_squad	Escouade d'envoûteurs	Une escouade de huit mercenaires de rang initié, composée de magiciens adeptes des sorts de lien offensifs (débilitants et élémentaires), et d'un guérisseur.
